,neurons,filters,activation,learning_rate,kernel_size,pool_size,loss,val_loss
00,64,32,relu,0.0001,3,1,mse,0.19183602929115295
01,32,32,tanh,0.001,4,2,mse,0.19570378959178925
02,64,64,relu,1e-05,4,2,mse,0.20378759503364563
03,32,64,tanh,0.001,3,1,mse,0.20556317269802094
04,64,16,sigmoid,0.01,3,1,mse,0.215799942612648
05,32,16,relu,1e-05,3,2,mse,0.2320968359708786
06,32,64,relu,0.01,3,2,mse,0.250496506690979
07,32,32,relu,0.001,2,2,mae,0.2609105408191681
08,64,64,sigmoid,0.001,2,1,mae,0.2671920657157898
09,32,32,tanh,0.01,3,1,mae,0.31580331921577454
