,neurons,filters,activation,learning_rate,kernel_size,pool_size,loss,val_loss
00,32,32,tanh,0.001,4,2,mse,0.19307756423950195
01,64,32,relu,0.0001,3,1,mse,0.19406571984291077
02,64,64,relu,1e-05,4,2,mse,0.20256996154785156
03,32,64,tanh,0.001,3,1,mse,0.2094963937997818
04,32,16,relu,1e-05,3,2,mse,0.22959765791893005
05,32,32,relu,0.001,2,2,mae,0.2634226679801941
06,64,64,sigmoid,0.001,2,1,mae,0.27021634578704834
07,32,32,tanh,0.01,3,1,mae,0.3105890452861786
08,32,64,relu,0.01,3,2,mse,0.37099477648735046
09,64,16,sigmoid,0.01,3,1,mse,0.3763527274131775
