date,DAP,LF,RTP
2017-01-01 05:00:00+00:00,42.06,1205,47.7
2017-01-01 06:00:00+00:00,41.98,1162,46.13
2017-01-01 07:00:00+00:00,38.7,1131,46.72
2017-01-01 08:00:00+00:00,32.55,1114,48.92
2017-01-01 09:00:00+00:00,35.24,1106,39.73
2017-01-01 10:00:00+00:00,33.01,1097,40.41
2017-01-01 11:00:00+00:00,29.41,1077,49.26
2017-01-01 12:00:00+00:00,34.36,1086,31.7
2017-01-01 13:00:00+00:00,37.41,1152,32.59
2017-01-01 14:00:00+00:00,43.15,1224,29.25
2017-01-01 15:00:00+00:00,36.43,1258,24.13
2017-01-01 16:00:00+00:00,33.84,1286,22.63
2017-01-01 17:00:00+00:00,35.63,1289,16.33
2017-01-01 18:00:00+00:00,32.9,1276,15.85
2017-01-01 19:00:00+00:00,32.43,1270,18.25
2017-01-01 20:00:00+00:00,31.36,1294,17.53
2017-01-01 21:00:00+00:00,34.17,1382,27.43
2017-01-01 22:00:00+00:00,43.93,1499,53.75
2017-01-01 23:00:00+00:00,39.19,1502,43.5
2017-01-02 00:00:00+00:00,37.89,1479,32.13
2017-01-02 01:00:00+00:00,36.05,1445,31.56
2017-01-02 02:00:00+00:00,36.66,1385,30.51
2017-01-02 03:00:00+00:00,33.58,1319,29.78
2017-01-02 04:00:00+00:00,30.19,1251,29.09
2017-01-02 05:00:00+00:00,38.97,1145,28.5
2017-01-02 06:00:00+00:00,40.84,1110,27.53
2017-01-02 07:00:00+00:00,33.41,1093,27.42
2017-01-02 08:00:00+00:00,31.73,1085,32.1
2017-01-02 09:00:00+00:00,33.25,1096,28.66
2017-01-02 10:00:00+00:00,31.99,1130,30.89
2017-01-02 11:00:00+00:00,33.8,1172,29.73
2017-01-02 12:00:00+00:00,42.31,1216,29.9
2017-01-02 13:00:00+00:00,47.07,1271,64.65
2017-01-02 14:00:00+00:00,52.34,1312,104.66
2017-01-02 15:00:00+00:00,44.73,1361,177.27
2017-01-02 16:00:00+00:00,43.41,1365,45.82
2017-01-02 17:00:00+00:00,43.08,1352,34.17
2017-01-02 18:00:00+00:00,40.05,1347,31.22
2017-01-02 19:00:00+00:00,39.37,1367,31.22
2017-01-02 20:00:00+00:00,40.66,1367,32.48
2017-01-02 21:00:00+00:00,45.13,1431,40.15
2017-01-02 22:00:00+00:00,54.43,1578,33.69
2017-01-02 23:00:00+00:00,49.06,1561,57.95
2017-01-03 00:00:00+00:00,45.99,1519,35.44
2017-01-03 01:00:00+00:00,40.65,1457,43.05
2017-01-03 02:00:00+00:00,38.81,1372,71.01
2017-01-03 03:00:00+00:00,37.15,1275,30.86
2017-01-03 04:00:00+00:00,32.34,1184,27.58
2017-01-03 05:00:00+00:00,35.14,1145,30.19
2017-01-03 06:00:00+00:00,35.63,1118,29.94
2017-01-03 07:00:00+00:00,33.56,1104,37.43
2017-01-03 08:00:00+00:00,33.07,1103,35.3
2017-01-03 09:00:00+00:00,34.5,1121,29.34
2017-01-03 10:00:00+00:00,32.73,1183,30.57
2017-01-03 11:00:00+00:00,37.45,1301,34.91
2017-01-03 12:00:00+00:00,44.63,1375,45.53
2017-01-03 13:00:00+00:00,48.66,1382,34.35
2017-01-03 14:00:00+00:00,54.35,1393,38.11
2017-01-03 15:00:00+00:00,45.48,1402,37.44
2017-01-03 16:00:00+00:00,44.59,1412,41.22
2017-01-03 17:00:00+00:00,41.68,1406,43.34
2017-01-03 18:00:00+00:00,41.28,1402,48.39
2017-01-03 19:00:00+00:00,40.48,1397,40.96
2017-01-03 20:00:00+00:00,44.67,1406,49.16
2017-01-03 21:00:00+00:00,51.21,1474,44.54
2017-01-03 22:00:00+00:00,52.1,1576,48.5
2017-01-03 23:00:00+00:00,46.73,1554,39.45
2017-01-04 00:00:00+00:00,43.77,1508,33.32
2017-01-04 01:00:00+00:00,38.6,1451,29.38
2017-01-04 02:00:00+00:00,36.93,1367,25.92
2017-01-04 03:00:00+00:00,34.4,1266,33.5
2017-01-04 04:00:00+00:00,29.97,1177,39.4
2017-01-04 05:00:00+00:00,34.6,1128,33.33
2017-01-04 06:00:00+00:00,33.11,1097,36.22
2017-01-04 07:00:00+00:00,34.0,1082,30.47
2017-01-04 08:00:00+00:00,33.7,1080,36.46
2017-01-04 09:00:00+00:00,34.93,1102,28.53
2017-01-04 10:00:00+00:00,33.59,1173,29.1
2017-01-04 11:00:00+00:00,39.77,1313,36.04
2017-01-04 12:00:00+00:00,45.45,1392,34.19
2017-01-04 13:00:00+00:00,45.59,1389,30.68
2017-01-04 14:00:00+00:00,51.37,1392,30.59
2017-01-04 15:00:00+00:00,46.47,1395,31.08
2017-01-04 16:00:00+00:00,45.51,1394,35.23
2017-01-04 17:00:00+00:00,44.3,1387,32.46
2017-01-04 18:00:00+00:00,44.66,1382,32.87
2017-01-04 19:00:00+00:00,42.37,1378,31.26
2017-01-04 20:00:00+00:00,46.48,1400,30.96
2017-01-04 21:00:00+00:00,50.42,1480,29.66
2017-01-04 22:00:00+00:00,54.01,1597,88.55
2017-01-04 23:00:00+00:00,48.33,1593,41.56
2017-01-05 00:00:00+00:00,50.78,1555,34.56
2017-01-05 01:00:00+00:00,44.64,1507,30.76
2017-01-05 02:00:00+00:00,43.6,1429,29.58
2017-01-05 03:00:00+00:00,45.0,1328,33.26
2017-01-05 04:00:00+00:00,33.78,1240,32.36
2017-01-05 05:00:00+00:00,39.51,1194,27.18
2017-01-05 06:00:00+00:00,37.05,1168,23.44
2017-01-05 07:00:00+00:00,34.25,1157,22.31
2017-01-05 08:00:00+00:00,33.89,1159,15.82
2017-01-05 09:00:00+00:00,35.92,1183,16.38
2017-01-05 10:00:00+00:00,35.33,1257,12.6
2017-01-05 11:00:00+00:00,42.03,1404,21.6
2017-01-05 12:00:00+00:00,50.76,1487,29.62
2017-01-05 13:00:00+00:00,51.21,1478,30.15
2017-01-05 14:00:00+00:00,54.24,1477,28.57
2017-01-05 15:00:00+00:00,56.21,1475,37.84
2017-01-05 16:00:00+00:00,55.07,1476,40.27
2017-01-05 17:00:00+00:00,51.4,1464,36.3
2017-01-05 18:00:00+00:00,49.64,1457,41.96
2017-01-05 19:00:00+00:00,48.69,1449,41.96
2017-01-05 20:00:00+00:00,49.03,1462,39.0
2017-01-05 21:00:00+00:00,53.73,1530,67.04
2017-01-05 22:00:00+00:00,61.82,1637,53.61
2017-01-05 23:00:00+00:00,58.32,1633,35.19
2017-01-06 00:00:00+00:00,54.41,1602,37.71
2017-01-06 01:00:00+00:00,50.54,1559,41.23
2017-01-06 02:00:00+00:00,47.88,1484,37.99
2017-01-06 03:00:00+00:00,45.93,1387,35.8
2017-01-06 04:00:00+00:00,42.69,1300,29.05
2017-01-06 05:00:00+00:00,44.0,1218,29.25
2017-01-06 06:00:00+00:00,44.1,1187,28.38
2017-01-06 07:00:00+00:00,40.32,1173,28.19
2017-01-06 08:00:00+00:00,39.21,1174,27.64
2017-01-06 09:00:00+00:00,40.14,1198,28.11
2017-01-06 10:00:00+00:00,38.71,1268,34.62
2017-01-06 11:00:00+00:00,52.0,1405,35.94
2017-01-06 12:00:00+00:00,62.22,1487,35.11
2017-01-06 13:00:00+00:00,59.54,1482,34.37
2017-01-06 14:00:00+00:00,63.31,1478,36.48
2017-01-06 15:00:00+00:00,68.49,1469,36.58
2017-01-06 16:00:00+00:00,62.38,1461,37.21
2017-01-06 17:00:00+00:00,57.55,1442,34.46
2017-01-06 18:00:00+00:00,56.69,1427,34.52
2017-01-06 19:00:00+00:00,54.88,1416,34.0
2017-01-06 20:00:00+00:00,52.66,1426,38.22
2017-01-06 21:00:00+00:00,66.19,1487,44.74
2017-01-06 22:00:00+00:00,76.91,1589,48.4
2017-01-06 23:00:00+00:00,72.8,1588,46.91
2017-01-07 00:00:00+00:00,67.74,1553,45.99
2017-01-07 01:00:00+00:00,63.16,1513,47.2
2017-01-07 02:00:00+00:00,56.67,1457,42.91
2017-01-07 03:00:00+00:00,60.09,1387,39.88
2017-01-07 04:00:00+00:00,51.11,1319,34.02
2017-01-07 05:00:00+00:00,64.24,1275,54.34
2017-01-07 06:00:00+00:00,63.57,1243,49.99
2017-01-07 07:00:00+00:00,54.25,1226,39.13
2017-01-07 08:00:00+00:00,50.21,1222,40.49
2017-01-07 09:00:00+00:00,51.16,1232,31.92
2017-01-07 10:00:00+00:00,54.18,1258,28.41
2017-01-07 11:00:00+00:00,58.65,1310,32.8
2017-01-07 12:00:00+00:00,61.76,1365,32.44
2017-01-07 13:00:00+00:00,64.29,1426,39.8
2017-01-07 14:00:00+00:00,75.49,1475,52.95
2017-01-07 15:00:00+00:00,80.94,1486,83.25
2017-01-07 16:00:00+00:00,75.5,1483,88.67
2017-01-07 17:00:00+00:00,75.41,1467,94.47
2017-01-07 18:00:00+00:00,69.55,1450,98.22
2017-01-07 19:00:00+00:00,66.88,1438,132.01
2017-01-07 20:00:00+00:00,60.84,1450,106.3
2017-01-07 21:00:00+00:00,78.82,1519,129.37
2017-01-07 22:00:00+00:00,92.53,1622,131.57
2017-01-07 23:00:00+00:00,85.26,1610,132.83
2017-01-08 00:00:00+00:00,80.93,1570,129.92
2017-01-08 01:00:00+00:00,79.84,1525,86.74
2017-01-08 02:00:00+00:00,77.15,1465,81.75
2017-01-08 03:00:00+00:00,78.42,1398,80.66
2017-01-08 04:00:00+00:00,64.41,1332,93.12
2017-01-08 05:00:00+00:00,68.69,1282,153.62
2017-01-08 06:00:00+00:00,67.82,1248,97.37
2017-01-08 07:00:00+00:00,66.34,1230,112.37
2017-01-08 08:00:00+00:00,60.81,1225,88.59
2017-01-08 09:00:00+00:00,60.74,1233,86.99
2017-01-08 10:00:00+00:00,59.39,1254,61.64
2017-01-08 11:00:00+00:00,63.7,1296,70.66
2017-01-08 12:00:00+00:00,66.92,1346,44.95
2017-01-08 13:00:00+00:00,74.2,1414,50.44
2017-01-08 14:00:00+00:00,88.21,1474,65.88
2017-01-08 15:00:00+00:00,86.84,1499,103.3
2017-01-08 16:00:00+00:00,84.65,1506,98.13
2017-01-08 17:00:00+00:00,84.98,1497,121.34
2017-01-08 18:00:00+00:00,80.4,1483,108.85
2017-01-08 19:00:00+00:00,77.69,1474,81.67
2017-01-08 20:00:00+00:00,80.06,1492,70.35
2017-01-08 21:00:00+00:00,101.28,1570,79.8
2017-01-08 22:00:00+00:00,122.16,1691,113.18
2017-01-08 23:00:00+00:00,108.26,1690,107.35
2017-01-09 00:00:00+00:00,106.51,1655,68.27
2017-01-09 01:00:00+00:00,101.06,1607,101.43
2017-01-09 02:00:00+00:00,96.12,1528,63.9
2017-01-09 03:00:00+00:00,97.9,1442,68.31
2017-01-09 04:00:00+00:00,76.86,1367,75.97
2017-01-09 05:00:00+00:00,90.0,1325,60.57
2017-01-09 06:00:00+00:00,88.08,1300,70.46
2017-01-09 07:00:00+00:00,84.19,1293,71.6
2017-01-09 08:00:00+00:00,84.34,1299,77.7
2017-01-09 09:00:00+00:00,85.82,1330,50.23
2017-01-09 10:00:00+00:00,85.81,1414,54.12
2017-01-09 11:00:00+00:00,99.77,1572,70.9
2017-01-09 12:00:00+00:00,125.63,1664,66.37
2017-01-09 13:00:00+00:00,111.02,1657,55.66
2017-01-09 14:00:00+00:00,118.89,1654,63.41
2017-01-09 15:00:00+00:00,117.1,1652,132.53
2017-01-09 16:00:00+00:00,105.29,1639,93.9
2017-01-09 17:00:00+00:00,101.85,1617,77.77
2017-01-09 18:00:00+00:00,95.85,1601,74.48
2017-01-09 19:00:00+00:00,95.17,1587,68.13
2017-01-09 20:00:00+00:00,97.31,1592,81.58
2017-01-09 21:00:00+00:00,116.24,1655,91.01
2017-01-09 22:00:00+00:00,138.74,1770,91.65
2017-01-09 23:00:00+00:00,126.69,1775,133.96
2017-01-10 00:00:00+00:00,118.87,1738,85.33
2017-01-10 01:00:00+00:00,108.23,1682,76.68
2017-01-10 02:00:00+00:00,98.41,1591,74.3
2017-01-10 03:00:00+00:00,98.31,1487,77.43
