date,DAP,LF,RTP
2017-01-01 05:00:00+00:00,15.5,1523,3.27
2017-01-01 06:00:00+00:00,11.89,1467,2.04
2017-01-01 07:00:00+00:00,10.28,1429,2.04
2017-01-01 08:00:00+00:00,9.65,1411,0.44
2017-01-01 09:00:00+00:00,10.23,1405,5.27
2017-01-01 10:00:00+00:00,10.5,1403,5.08
2017-01-01 11:00:00+00:00,12.31,1390,6.72
2017-01-01 12:00:00+00:00,12.61,1413,12.35
2017-01-01 13:00:00+00:00,15.41,1472,4.21
2017-01-01 14:00:00+00:00,18.01,1548,14.44
2017-01-01 15:00:00+00:00,19.17,1593,14.1
2017-01-01 16:00:00+00:00,20.75,1617,5.52
2017-01-01 17:00:00+00:00,20.91,1628,6.51
2017-01-01 18:00:00+00:00,20.89,1605,15.05
2017-01-01 19:00:00+00:00,21.91,1586,16.04
2017-01-01 20:00:00+00:00,23.46,1602,14.87
2017-01-01 21:00:00+00:00,31.48,1696,19.98
2017-01-01 22:00:00+00:00,41.82,1862,51.12
2017-01-01 23:00:00+00:00,37.42,1879,41.45
2017-01-02 00:00:00+00:00,36.14,1865,30.56
2017-01-02 01:00:00+00:00,33.29,1835,25.78
2017-01-02 02:00:00+00:00,28.08,1775,21.46
2017-01-02 03:00:00+00:00,24.43,1700,21.09
2017-01-02 04:00:00+00:00,25.41,1630,15.98
2017-01-02 05:00:00+00:00,26.73,1506,24.98
2017-01-02 06:00:00+00:00,21.26,1470,21.85
2017-01-02 07:00:00+00:00,20.89,1435,19.79
2017-01-02 08:00:00+00:00,16.69,1424,17.62
2017-01-02 09:00:00+00:00,20.71,1447,21.73
2017-01-02 10:00:00+00:00,22.87,1500,22.07
2017-01-02 11:00:00+00:00,25.1,1581,22.93
2017-01-02 12:00:00+00:00,20.15,1656,22.9
2017-01-02 13:00:00+00:00,20.75,1717,58.19
2017-01-02 14:00:00+00:00,23.76,1788,99.03
2017-01-02 15:00:00+00:00,24.52,1843,168.81
2017-01-02 16:00:00+00:00,27.19,1857,33.63
2017-01-02 17:00:00+00:00,27.88,1844,32.13
2017-01-02 18:00:00+00:00,28.3,1809,29.02
2017-01-02 19:00:00+00:00,25.09,1798,29.53
2017-01-02 20:00:00+00:00,25.4,1795,30.73
2017-01-02 21:00:00+00:00,34.98,1831,38.17
2017-01-02 22:00:00+00:00,51.38,2001,32.0
2017-01-02 23:00:00+00:00,43.59,1987,55.13
2017-01-03 00:00:00+00:00,37.97,1932,33.6
2017-01-03 01:00:00+00:00,32.75,1867,40.9
2017-01-03 02:00:00+00:00,26.98,1747,67.16
2017-01-03 03:00:00+00:00,19.85,1620,25.75
2017-01-03 04:00:00+00:00,18.69,1517,26.21
2017-01-03 05:00:00+00:00,20.07,1500,28.57
2017-01-03 06:00:00+00:00,16.51,1465,28.34
2017-01-03 07:00:00+00:00,14.9,1438,22.9
2017-01-03 08:00:00+00:00,15.38,1433,15.05
2017-01-03 09:00:00+00:00,15.38,1465,25.52
2017-01-03 10:00:00+00:00,21.39,1565,17.23
2017-01-03 11:00:00+00:00,28.44,1731,23.09
2017-01-03 12:00:00+00:00,31.36,1832,27.87
2017-01-03 13:00:00+00:00,31.91,1838,30.21
2017-01-03 14:00:00+00:00,31.62,1858,30.72
2017-01-03 15:00:00+00:00,32.76,1877,35.56
2017-01-03 16:00:00+00:00,34.13,1885,36.55
2017-01-03 17:00:00+00:00,32.08,1874,41.1
2017-01-03 18:00:00+00:00,31.96,1868,45.96
2017-01-03 19:00:00+00:00,31.64,1848,38.85
2017-01-03 20:00:00+00:00,30.79,1839,46.75
2017-01-03 21:00:00+00:00,35.29,1894,42.41
2017-01-03 22:00:00+00:00,49.61,2011,46.38
2017-01-03 23:00:00+00:00,44.49,1995,37.61
2017-01-04 00:00:00+00:00,41.48,1952,31.66
2017-01-04 01:00:00+00:00,35.4,1891,27.97
2017-01-04 02:00:00+00:00,30.86,1784,24.56
2017-01-04 03:00:00+00:00,25.38,1659,31.5
2017-01-04 04:00:00+00:00,23.58,1554,23.89
2017-01-04 05:00:00+00:00,22.07,1496,20.33
2017-01-04 06:00:00+00:00,18.16,1451,22.27
2017-01-04 07:00:00+00:00,15.96,1422,23.03
2017-01-04 08:00:00+00:00,16.46,1414,16.11
2017-01-04 09:00:00+00:00,16.27,1446,25.02
2017-01-04 10:00:00+00:00,21.03,1554,27.62
2017-01-04 11:00:00+00:00,28.72,1737,28.11
2017-01-04 12:00:00+00:00,32.95,1845,31.96
2017-01-04 13:00:00+00:00,33.65,1849,29.06
2017-01-04 14:00:00+00:00,31.87,1871,28.54
2017-01-04 15:00:00+00:00,31.8,1892,26.1
2017-01-04 16:00:00+00:00,30.8,1905,23.65
2017-01-04 17:00:00+00:00,29.06,1903,29.56
2017-01-04 18:00:00+00:00,28.23,1907,30.99
2017-01-04 19:00:00+00:00,28.31,1892,28.16
2017-01-04 20:00:00+00:00,27.2,1898,22.05
2017-01-04 21:00:00+00:00,32.88,1972,26.71
2017-01-04 22:00:00+00:00,46.77,2107,84.01
2017-01-04 23:00:00+00:00,41.75,2107,39.41
2017-01-05 00:00:00+00:00,36.08,2078,32.74
2017-01-05 01:00:00+00:00,31.95,2020,29.1
2017-01-05 02:00:00+00:00,27.91,1920,28.08
2017-01-05 03:00:00+00:00,24.18,1793,20.67
2017-01-05 04:00:00+00:00,21.72,1685,22.06
2017-01-05 05:00:00+00:00,24.18,1650,22.45
2017-01-05 06:00:00+00:00,20.86,1610,21.78
2017-01-05 07:00:00+00:00,19.05,1586,21.03
2017-01-05 08:00:00+00:00,19.45,1585,14.91
2017-01-05 09:00:00+00:00,19.52,1622,15.5
2017-01-05 10:00:00+00:00,25.74,1734,11.93
2017-01-05 11:00:00+00:00,33.47,1930,20.41
2017-01-05 12:00:00+00:00,34.71,2037,28.08
2017-01-05 13:00:00+00:00,32.41,2034,28.56
2017-01-05 14:00:00+00:00,31.99,2046,27.08
2017-01-05 15:00:00+00:00,31.62,2053,32.95
2017-01-05 16:00:00+00:00,30.74,2051,32.7
2017-01-05 17:00:00+00:00,29.3,2038,31.85
2017-01-05 18:00:00+00:00,28.63,2029,36.05
2017-01-05 19:00:00+00:00,28.45,2008,38.65
2017-01-05 20:00:00+00:00,28.79,1999,32.64
2017-01-05 21:00:00+00:00,33.89,2056,63.12
2017-01-05 22:00:00+00:00,51.49,2178,50.42
2017-01-05 23:00:00+00:00,48.59,2182,33.01
2017-01-06 00:00:00+00:00,42.75,2155,35.32
2017-01-06 01:00:00+00:00,35.79,2101,38.87
2017-01-06 02:00:00+00:00,31.21,1999,35.51
2017-01-06 03:00:00+00:00,29.44,1873,33.62
2017-01-06 04:00:00+00:00,27.98,1764,27.29
2017-01-06 05:00:00+00:00,29.69,1699,27.46
2017-01-06 06:00:00+00:00,27.47,1653,26.62
2017-01-06 07:00:00+00:00,27.41,1631,26.37
2017-01-06 08:00:00+00:00,27.44,1631,25.92
2017-01-06 09:00:00+00:00,27.48,1669,26.35
2017-01-06 10:00:00+00:00,31.2,1784,32.55
2017-01-06 11:00:00+00:00,43.53,1981,33.75
2017-01-06 12:00:00+00:00,46.84,2095,33.06
2017-01-06 13:00:00+00:00,47.69,2094,32.41
2017-01-06 14:00:00+00:00,46.43,2099,34.38
2017-01-06 15:00:00+00:00,45.82,2108,32.17
2017-01-06 16:00:00+00:00,45.23,2094,34.75
2017-01-06 17:00:00+00:00,40.62,2071,31.67
2017-01-06 18:00:00+00:00,38.64,2057,32.16
2017-01-06 19:00:00+00:00,36.52,2031,30.77
2017-01-06 20:00:00+00:00,37.14,2013,35.3
2017-01-06 21:00:00+00:00,40.45,2055,42.17
2017-01-06 22:00:00+00:00,56.4,2167,46.47
2017-01-06 23:00:00+00:00,53.91,2170,43.82
2017-01-07 00:00:00+00:00,49.45,2138,37.48
2017-01-07 01:00:00+00:00,42.82,2087,41.69
2017-01-07 02:00:00+00:00,41.31,2010,38.72
2017-01-07 03:00:00+00:00,35.58,1915,37.03
2017-01-07 04:00:00+00:00,30.25,1823,31.69
2017-01-07 05:00:00+00:00,32.32,1768,29.79
2017-01-07 06:00:00+00:00,29.37,1714,30.02
2017-01-07 07:00:00+00:00,28.14,1688,29.9
2017-01-07 08:00:00+00:00,28.48,1677,26.77
2017-01-07 09:00:00+00:00,28.52,1686,28.72
2017-01-07 10:00:00+00:00,30.38,1734,26.47
2017-01-07 11:00:00+00:00,36.2,1805,30.66
2017-01-07 12:00:00+00:00,36.37,1885,30.51
2017-01-07 13:00:00+00:00,42.49,1950,35.43
2017-01-07 14:00:00+00:00,44.99,2002,41.86
2017-01-07 15:00:00+00:00,48.14,2020,32.68
2017-01-07 16:00:00+00:00,44.9,2007,30.5
2017-01-07 17:00:00+00:00,39.56,1983,30.6
2017-01-07 18:00:00+00:00,36.52,1954,31.99
2017-01-07 19:00:00+00:00,36.5,1929,31.04
2017-01-07 20:00:00+00:00,34.87,1920,28.48
2017-01-07 21:00:00+00:00,40.45,1969,23.7
2017-01-07 22:00:00+00:00,57.39,2099,45.02
