date,DAP,LF,RTP
2017-01-01 05:00:00+00:00,33.52,613,32.3
2017-01-01 06:00:00+00:00,32.0,593,30.8
2017-01-01 07:00:00+00:00,29.2,575,31.19
2017-01-01 08:00:00+00:00,24.99,562,32.03
2017-01-01 09:00:00+00:00,26.91,557,27.89
2017-01-01 10:00:00+00:00,25.58,550,28.24
2017-01-01 11:00:00+00:00,23.96,535,34.65
2017-01-01 12:00:00+00:00,27.29,522,25.4
2017-01-01 13:00:00+00:00,30.51,535,22.86
2017-01-01 14:00:00+00:00,35.31,562,24.63
2017-01-01 15:00:00+00:00,31.41,582,21.18
2017-01-01 16:00:00+00:00,30.36,600,16.88
2017-01-01 17:00:00+00:00,31.64,606,13.18
2017-01-01 18:00:00+00:00,29.83,608,16.21
2017-01-01 19:00:00+00:00,29.94,611,18.21
2017-01-01 20:00:00+00:00,29.94,617,17.31
2017-01-01 21:00:00+00:00,35.14,642,25.74
2017-01-01 22:00:00+00:00,45.5,701,54.97
2017-01-01 23:00:00+00:00,40.78,712,44.62
2017-01-02 00:00:00+00:00,39.39,711,33.08
2017-01-02 01:00:00+00:00,37.13,704,30.88
2017-01-02 02:00:00+00:00,35.34,689,28.45
2017-01-02 03:00:00+00:00,31.67,660,27.73
2017-01-02 04:00:00+00:00,29.66,628,25.25
2017-01-02 05:00:00+00:00,36.01,574,28.21
2017-01-02 06:00:00+00:00,34.97,543,26.28
2017-01-02 07:00:00+00:00,30.02,529,25.39
2017-01-02 08:00:00+00:00,27.26,517,27.6
2017-01-02 09:00:00+00:00,29.78,518,26.89
2017-01-02 10:00:00+00:00,29.85,538,28.58
2017-01-02 11:00:00+00:00,32.03,550,28.19
2017-01-02 12:00:00+00:00,35.54,565,28.38
2017-01-02 13:00:00+00:00,38.93,606,64.75
2017-01-02 14:00:00+00:00,43.59,644,106.6
2017-01-02 15:00:00+00:00,39.11,680,181.01
2017-01-02 16:00:00+00:00,39.32,698,43.12
2017-01-02 17:00:00+00:00,39.42,703,35.07
2017-01-02 18:00:00+00:00,37.65,703,31.88
2017-01-02 19:00:00+00:00,35.94,707,32.16
2017-01-02 20:00:00+00:00,36.85,705,33.51
2017-01-02 21:00:00+00:00,43.72,715,41.33
2017-01-02 22:00:00+00:00,56.43,776,34.61
2017-01-02 23:00:00+00:00,49.77,775,59.58
2017-01-03 00:00:00+00:00,45.62,750,36.52
2017-01-03 01:00:00+00:00,40.16,726,44.36
2017-01-03 02:00:00+00:00,36.64,688,73.23
2017-01-03 03:00:00+00:00,32.26,640,30.29
2017-01-03 04:00:00+00:00,28.54,593,28.24
2017-01-03 05:00:00+00:00,30.59,540,30.55
2017-01-03 06:00:00+00:00,29.55,521,30.15
2017-01-03 07:00:00+00:00,27.55,512,32.98
2017-01-03 08:00:00+00:00,27.42,507,28.66
2017-01-03 09:00:00+00:00,28.36,512,28.69
2017-01-03 10:00:00+00:00,29.53,538,26.47
2017-01-03 11:00:00+00:00,35.54,594,31.55
2017-01-03 12:00:00+00:00,41.33,652,40.34
2017-01-03 13:00:00+00:00,44.25,668,34.02
2017-01-03 14:00:00+00:00,47.82,688,36.72
2017-01-03 15:00:00+00:00,42.87,701,38.37
2017-01-03 16:00:00+00:00,42.75,706,41.34
2017-01-03 17:00:00+00:00,40.07,709,44.51
