date,DAP,LF,RTP
2017-01-01 05:00:00+00:00,14.67,913,2.18
2017-01-01 06:00:00+00:00,11.04,880,0.99
2017-01-01 07:00:00+00:00,9.51,856,0.98
2017-01-01 08:00:00+00:00,9.02,845,-0.69
2017-01-01 09:00:00+00:00,9.56,840,4.35
2017-01-01 10:00:00+00:00,9.88,836,4.17
2017-01-01 11:00:00+00:00,11.77,822,5.58
2017-01-01 12:00:00+00:00,11.88,824,11.53
2017-01-01 13:00:00+00:00,14.53,849,3.44
2017-01-01 14:00:00+00:00,16.97,886,13.66
2017-01-01 15:00:00+00:00,18.3,913,13.36
2017-01-01 16:00:00+00:00,19.9,940,4.93
2017-01-01 17:00:00+00:00,19.98,953,6.0
2017-01-01 18:00:00+00:00,20.0,951,14.35
2017-01-01 19:00:00+00:00,21.01,945,15.25
2017-01-01 20:00:00+00:00,22.59,960,14.09
2017-01-01 21:00:00+00:00,30.68,1023,18.92
2017-01-01 22:00:00+00:00,41.08,1140,49.04
2017-01-01 23:00:00+00:00,36.5,1144,39.71
2017-01-02 00:00:00+00:00,35.14,1131,29.24
2017-01-02 01:00:00+00:00,32.41,1104,24.52
2017-01-02 02:00:00+00:00,27.19,1064,20.32
2017-01-02 03:00:00+00:00,23.72,1014,19.95
2017-01-02 04:00:00+00:00,24.95,963,15.01
2017-01-02 05:00:00+00:00,25.89,881,23.94
2017-01-02 06:00:00+00:00,20.31,850,20.86
2017-01-02 07:00:00+00:00,20.11,832,18.89
2017-01-02 08:00:00+00:00,16.0,826,16.65
2017-01-02 09:00:00+00:00,19.99,841,20.78
2017-01-02 10:00:00+00:00,22.18,878,21.11
2017-01-02 11:00:00+00:00,24.3,929,21.97
2017-01-02 12:00:00+00:00,19.13,971,21.85
2017-01-02 13:00:00+00:00,19.54,996,55.73
2017-01-02 14:00:00+00:00,22.42,1030,95.29
2017-01-02 15:00:00+00:00,23.31,1077,162.76
2017-01-02 16:00:00+00:00,25.97,1093,32.01
2017-01-02 17:00:00+00:00,26.65,1092,30.73
2017-01-02 18:00:00+00:00,27.19,1085,27.78
2017-01-02 19:00:00+00:00,24.04,1085,28.32
2017-01-02 20:00:00+00:00,24.35,1076,29.53
2017-01-02 21:00:00+00:00,33.95,1104,36.83
2017-01-02 22:00:00+00:00,50.21,1227,31.02
2017-01-02 23:00:00+00:00,42.52,1212,53.4
2017-01-03 00:00:00+00:00,36.81,1179,32.42
2017-01-03 01:00:00+00:00,31.7,1131,39.42
2017-01-03 02:00:00+00:00,25.96,1064,64.54
2017-01-03 03:00:00+00:00,18.92,985,24.6
2017-01-03 04:00:00+00:00,17.99,922,25.37
2017-01-03 05:00:00+00:00,19.47,903,27.89
2017-01-03 06:00:00+00:00,15.81,878,27.63
2017-01-03 07:00:00+00:00,14.26,863,21.92
2017-01-03 08:00:00+00:00,14.77,860,14.18
2017-01-03 09:00:00+00:00,14.74,880,24.8
2017-01-03 10:00:00+00:00,20.88,940,16.53
2017-01-03 11:00:00+00:00,27.77,1037,22.11
2017-01-03 12:00:00+00:00,30.51,1108,26.64
2017-01-03 13:00:00+00:00,30.94,1114,29.29
2017-01-03 14:00:00+00:00,30.49,1133,29.63
2017-01-03 15:00:00+00:00,31.88,1146,34.62
2017-01-03 16:00:00+00:00,33.25,1150,35.35
2017-01-03 17:00:00+00:00,31.17,1141,39.83
2017-01-03 18:00:00+00:00,31.02,1140,44.68
2017-01-03 19:00:00+00:00,30.72,1132,37.74
2017-01-03 20:00:00+00:00,29.74,1131,45.37
2017-01-03 21:00:00+00:00,34.19,1165,41.27
2017-01-03 22:00:00+00:00,48.73,1247,45.19
2017-01-03 23:00:00+00:00,43.79,1238,36.55
2017-01-04 00:00:00+00:00,40.66,1209,30.72
2017-01-04 01:00:00+00:00,34.57,1170,27.16
2017-01-04 02:00:00+00:00,30.03,1104,23.72
2017-01-04 03:00:00+00:00,24.69,1025,30.41
2017-01-04 04:00:00+00:00,23.08,957,22.86
2017-01-04 05:00:00+00:00,21.45,906,19.46
2017-01-04 06:00:00+00:00,17.54,875,21.23
2017-01-04 07:00:00+00:00,15.31,859,22.05
2017-01-04 08:00:00+00:00,15.81,858,15.13
2017-01-04 09:00:00+00:00,15.59,880,24.27
