date,DAP,LF,RTP
2017-01-01 05:00:00+00:00,33.62,951,32.54
2017-01-01 06:00:00+00:00,32.14,905,31.04
2017-01-01 07:00:00+00:00,29.33,870,31.45
2017-01-01 08:00:00+00:00,25.08,855,32.31
2017-01-01 09:00:00+00:00,27.02,850,28.09
2017-01-01 10:00:00+00:00,25.66,848,28.46
2017-01-01 11:00:00+00:00,23.98,839,34.91
2017-01-01 12:00:00+00:00,27.36,837,25.51
2017-01-01 13:00:00+00:00,30.55,884,23.04
2017-01-01 14:00:00+00:00,35.38,939,24.72
2017-01-01 15:00:00+00:00,31.44,974,21.25
2017-01-01 16:00:00+00:00,30.3,999,17.02
2017-01-01 17:00:00+00:00,31.6,1009,13.24
2017-01-01 18:00:00+00:00,29.78,1002,16.19
2017-01-01 19:00:00+00:00,29.87,998,18.19
2017-01-01 20:00:00+00:00,29.84,1011,17.3
2017-01-01 21:00:00+00:00,34.96,1082,25.77
2017-01-01 22:00:00+00:00,45.38,1209,55.05
2017-01-01 23:00:00+00:00,40.59,1227,44.68
2017-01-02 00:00:00+00:00,39.21,1212,33.07
2017-01-02 01:00:00+00:00,36.9,1188,30.86
2017-01-02 02:00:00+00:00,35.2,1141,28.47
2017-01-02 03:00:00+00:00,31.58,1080,27.75
2017-01-02 04:00:00+00:00,29.53,1013,25.28
2017-01-02 05:00:00+00:00,35.96,923,28.22
2017-01-02 06:00:00+00:00,35.03,877,26.33
2017-01-02 07:00:00+00:00,30.04,846,25.45
2017-01-02 08:00:00+00:00,27.3,841,27.71
2017-01-02 09:00:00+00:00,29.82,851,26.97
2017-01-02 10:00:00+00:00,29.81,869,28.65
2017-01-02 11:00:00+00:00,31.92,900,28.24
2017-01-02 12:00:00+00:00,35.54,946,28.41
2017-01-02 13:00:00+00:00,38.97,1001,64.83
2017-01-02 14:00:00+00:00,43.65,1066,106.78
2017-01-02 15:00:00+00:00,39.1,1115,181.32
2017-01-02 16:00:00+00:00,39.25,1128,43.18
2017-01-02 17:00:00+00:00,39.34,1127,35.03
2017-01-02 18:00:00+00:00,37.52,1120,31.85
2017-01-02 19:00:00+00:00,35.84,1126,32.08
2017-01-02 20:00:00+00:00,36.78,1119,33.42
2017-01-02 21:00:00+00:00,43.55,1162,41.27
2017-01-02 22:00:00+00:00,56.23,1293,34.61
2017-01-02 23:00:00+00:00,49.66,1296,59.57
2017-01-03 00:00:00+00:00,45.47,1266,36.48
2017-01-03 01:00:00+00:00,39.94,1221,44.3
2017-01-03 02:00:00+00:00,36.49,1153,73.07
2017-01-03 03:00:00+00:00,32.24,1063,30.25
2017-01-03 04:00:00+00:00,28.48,971,28.18
2017-01-03 05:00:00+00:00,30.64,913,30.54
2017-01-03 06:00:00+00:00,29.62,880,30.18
2017-01-03 07:00:00+00:00,27.63,863,33.08
2017-01-03 08:00:00+00:00,27.49,857,28.78
2017-01-03 09:00:00+00:00,28.45,870,28.75
2017-01-03 10:00:00+00:00,29.55,914,26.55
2017-01-03 11:00:00+00:00,35.46,996,31.63
2017-01-03 12:00:00+00:00,41.27,1056,40.39
2017-01-03 13:00:00+00:00,44.14,1083,34.02
2017-01-03 14:00:00+00:00,47.7,1111,36.71
2017-01-03 15:00:00+00:00,42.68,1128,38.28
2017-01-03 16:00:00+00:00,42.55,1136,41.21
2017-01-03 17:00:00+00:00,39.84,1135,44.36
2017-01-03 18:00:00+00:00,39.47,1136,49.44
2017-01-03 19:00:00+00:00,39.0,1136,41.93
2017-01-03 20:00:00+00:00,41.18,1145,50.39
2017-01-03 21:00:00+00:00,47.39,1196,45.67
2017-01-03 22:00:00+00:00,53.57,1283,49.86
2017-01-03 23:00:00+00:00,48.17,1277,40.53
2017-01-04 00:00:00+00:00,45.0,1249,34.25
2017-01-04 01:00:00+00:00,39.36,1210,30.18
2017-01-04 02:00:00+00:00,36.4,1143,26.57
2017-01-04 03:00:00+00:00,32.39,1055,34.05
2017-01-04 04:00:00+00:00,28.53,969,34.92
2017-01-04 05:00:00+00:00,31.13,913,29.47
2017-01-04 06:00:00+00:00,28.63,872,31.99
2017-01-04 07:00:00+00:00,28.33,851,28.53
2017-01-04 08:00:00+00:00,28.32,844,29.86
2017-01-04 09:00:00+00:00,29.06,856,27.95
