date,DAP,LF,RTP
2017-01-01 05:00:00+00:00,34.05,2131,32.25
2017-01-01 06:00:00+00:00,32.24,2029,30.72
2017-01-01 07:00:00+00:00,29.33,1951,31.13
2017-01-01 08:00:00+00:00,25.11,1900,31.92
2017-01-01 09:00:00+00:00,26.99,1871,27.92
2017-01-01 10:00:00+00:00,25.74,1843,28.26
2017-01-01 11:00:00+00:00,24.27,1796,34.7
2017-01-01 12:00:00+00:00,27.53,1750,25.68
2017-01-01 13:00:00+00:00,30.75,1800,22.88
2017-01-01 14:00:00+00:00,35.73,1888,24.93
2017-01-01 15:00:00+00:00,31.93,1951,21.53
2017-01-01 16:00:00+00:00,30.92,2009,16.98
2017-01-01 17:00:00+00:00,32.2,2035,13.33
2017-01-01 18:00:00+00:00,30.33,2047,16.6
2017-01-01 19:00:00+00:00,30.52,2049,18.68
2017-01-01 20:00:00+00:00,30.72,2090,17.83
2017-01-01 21:00:00+00:00,36.39,2234,26.47
2017-01-01 22:00:00+00:00,52.39,2495,57.1
2017-01-01 23:00:00+00:00,45.29,2535,46.38
2017-01-02 00:00:00+00:00,40.76,2524,34.33
2017-01-02 01:00:00+00:00,38.44,2495,31.85
2017-01-02 02:00:00+00:00,36.26,2428,29.23
2017-01-02 03:00:00+00:00,32.26,2307,28.33
2017-01-02 04:00:00+00:00,30.2,2162,25.7
2017-01-02 05:00:00+00:00,39.33,1969,28.9
2017-01-02 06:00:00+00:00,35.47,1840,26.76
2017-01-02 07:00:00+00:00,30.38,1756,25.75
2017-01-02 08:00:00+00:00,27.55,1712,27.91
2017-01-02 09:00:00+00:00,30.14,1711,27.31
2017-01-02 10:00:00+00:00,30.47,1750,29.13
2017-01-02 11:00:00+00:00,32.95,1769,28.8
2017-01-02 12:00:00+00:00,36.2,1818,29.04
2017-01-02 13:00:00+00:00,39.54,1928,66.42
2017-01-02 14:00:00+00:00,44.08,2042,109.59
2017-01-02 15:00:00+00:00,39.69,2166,186.58
2017-01-02 16:00:00+00:00,40.11,2226,44.27
2017-01-02 17:00:00+00:00,40.18,2247,36.17
2017-01-02 18:00:00+00:00,38.41,2244,32.86
2017-01-02 19:00:00+00:00,36.79,2270,33.23
2017-01-02 20:00:00+00:00,37.73,2277,34.69
2017-01-02 21:00:00+00:00,46.23,2407,52.89
2017-01-02 22:00:00+00:00,67.34,2740,41.33
2017-01-02 23:00:00+00:00,60.7,2750,61.76
2017-01-03 00:00:00+00:00,55.2,2688,37.8
2017-01-03 01:00:00+00:00,41.52,2596,45.9
2017-01-03 02:00:00+00:00,37.7,2450,87.99
2017-01-03 03:00:00+00:00,32.67,2243,30.98
2017-01-03 04:00:00+00:00,29.05,2015,28.94
2017-01-03 05:00:00+00:00,31.18,1883,31.23
2017-01-03 06:00:00+00:00,29.82,1795,30.76
2017-01-03 07:00:00+00:00,27.79,1742,33.42
2017-01-03 08:00:00+00:00,27.69,1721,28.91
2017-01-03 09:00:00+00:00,28.61,1747,29.18
2017-01-03 10:00:00+00:00,30.28,1849,26.86
2017-01-03 11:00:00+00:00,36.85,2040,32.28
2017-01-03 12:00:00+00:00,42.39,2176,41.29
2017-01-03 13:00:00+00:00,45.23,2227,35.11
2017-01-03 14:00:00+00:00,48.71,2275,37.83
2017-01-03 15:00:00+00:00,43.77,2298,39.68
2017-01-03 16:00:00+00:00,43.71,2309,42.6
2017-01-03 17:00:00+00:00,40.87,2299,46.03
2017-01-03 18:00:00+00:00,40.8,2291,51.5
2017-01-03 19:00:00+00:00,40.05,2303,43.6
2017-01-03 20:00:00+00:00,42.52,2334,53.74
2017-01-03 21:00:00+00:00,51.03,2481,73.26
2017-01-03 22:00:00+00:00,64.79,2724,51.79
2017-01-03 23:00:00+00:00,59.0,2736,44.66
2017-01-04 00:00:00+00:00,55.93,2669,52.23
2017-01-04 01:00:00+00:00,43.48,2575,38.9
2017-01-04 02:00:00+00:00,37.66,2428,28.54
2017-01-04 03:00:00+00:00,33.08,2223,35.15
2017-01-04 04:00:00+00:00,29.04,2011,35.55
2017-01-04 05:00:00+00:00,31.78,1871,29.89
2017-01-04 06:00:00+00:00,28.9,1766,32.36
2017-01-04 07:00:00+00:00,28.51,1705,28.91
2017-01-04 08:00:00+00:00,28.54,1682,30.06
2017-01-04 09:00:00+00:00,29.25,1711,28.41
2017-01-04 10:00:00+00:00,30.55,1830,30.04
2017-01-04 11:00:00+00:00,40.96,2063,35.51
2017-01-04 12:00:00+00:00,45.64,2228,35.98
2017-01-04 13:00:00+00:00,46.2,2261,32.55
2017-01-04 14:00:00+00:00,48.71,2278,32.2
2017-01-04 15:00:00+00:00,44.28,2287,31.52
2017-01-04 16:00:00+00:00,43.45,2284,37.54
2017-01-04 17:00:00+00:00,42.24,2266,38.17
2017-01-04 18:00:00+00:00,42.08,2262,39.2
2017-01-04 19:00:00+00:00,41.24,2280,32.76
2017-01-04 20:00:00+00:00,42.82,2330,29.86
2017-01-04 21:00:00+00:00,47.59,2502,30.91
2017-01-04 22:00:00+00:00,56.37,2777,94.85
2017-01-04 23:00:00+00:00,50.54,2822,44.44
2017-01-05 00:00:00+00:00,49.29,2773,36.84
2017-01-05 01:00:00+00:00,46.7,2698,40.91
2017-01-05 02:00:00+00:00,42.38,2565,41.65
2017-01-05 03:00:00+00:00,39.56,2358,31.28
2017-01-05 04:00:00+00:00,31.42,2138,34.18
2017-01-05 05:00:00+00:00,37.46,2005,26.98
2017-01-05 06:00:00+00:00,33.72,1920,24.06
2017-01-05 07:00:00+00:00,30.97,1874,23.07
2017-01-05 08:00:00+00:00,30.92,1861,16.46
2017-01-05 09:00:00+00:00,32.32,1900,16.99
2017-01-05 10:00:00+00:00,35.9,2028,13.05
2017-01-05 11:00:00+00:00,43.58,2276,22.52
2017-01-05 12:00:00+00:00,50.49,2435,31.05
2017-01-05 13:00:00+00:00,54.2,2454,31.72
2017-01-05 14:00:00+00:00,54.7,2454,30.08
2017-01-05 15:00:00+00:00,50.71,2449,38.99
2017-01-05 16:00:00+00:00,50.32,2436,40.44
2017-01-05 17:00:00+00:00,49.56,2411,46.96
2017-01-05 18:00:00+00:00,48.91,2409,42.96
2017-01-05 19:00:00+00:00,49.23,2423,43.93
2017-01-05 20:00:00+00:00,49.63,2469,39.69
2017-01-05 21:00:00+00:00,59.0,2642,127.45
2017-01-05 22:00:00+00:00,73.12,2923,56.98
2017-01-05 23:00:00+00:00,68.4,2971,37.44
2017-01-06 00:00:00+00:00,66.72,2921,40.61
2017-01-06 01:00:00+00:00,64.12,2841,43.6
2017-01-06 02:00:00+00:00,58.02,2693,40.98
2017-01-06 03:00:00+00:00,48.87,2470,37.66
2017-01-06 04:00:00+00:00,41.92,2234,30.3
2017-01-06 05:00:00+00:00,48.21,2017,30.44
2017-01-06 06:00:00+00:00,45.25,1917,29.51
2017-01-06 07:00:00+00:00,43.1,1861,29.13
2017-01-06 08:00:00+00:00,42.45,1842,28.55
2017-01-06 09:00:00+00:00,42.96,1874,29.16
2017-01-06 10:00:00+00:00,49.16,1996,35.81
2017-01-06 11:00:00+00:00,58.88,2220,37.39
2017-01-06 12:00:00+00:00,65.85,2394,36.84
2017-01-06 13:00:00+00:00,65.5,2453,35.98
2017-01-06 14:00:00+00:00,64.93,2483,44.24
2017-01-06 15:00:00+00:00,65.46,2487,58.26
2017-01-06 16:00:00+00:00,65.5,2468,80.08
2017-01-06 17:00:00+00:00,59.82,2438,45.15
2017-01-06 18:00:00+00:00,57.73,2421,36.86
2017-01-06 19:00:00+00:00,55.0,2424,37.75
2017-01-06 20:00:00+00:00,55.28,2460,42.37
2017-01-06 21:00:00+00:00,65.56,2601,90.76
2017-01-06 22:00:00+00:00,75.85,2837,51.12
2017-01-06 23:00:00+00:00,72.13,2870,49.44
2017-01-07 00:00:00+00:00,66.98,2811,46.41
2017-01-07 01:00:00+00:00,65.34,2730,49.01
2017-01-07 02:00:00+00:00,66.0,2615,44.99
2017-01-07 03:00:00+00:00,57.24,2463,41.77
2017-01-07 04:00:00+00:00,50.46,2290,35.5
2017-01-07 05:00:00+00:00,61.24,2157,47.4
2017-01-07 06:00:00+00:00,58.85,2048,44.43
2017-01-07 07:00:00+00:00,52.87,1986,37.18
2017-01-07 08:00:00+00:00,50.8,1957,36.76
2017-01-07 09:00:00+00:00,51.28,1966,32.06
2017-01-07 10:00:00+00:00,54.16,2012,29.09
2017-01-07 11:00:00+00:00,59.52,2103,33.85
2017-01-07 12:00:00+00:00,63.72,2204,33.76
2017-01-07 13:00:00+00:00,72.97,2333,40.86
2017-01-07 14:00:00+00:00,77.32,2455,52.37
2017-01-07 15:00:00+00:00,74.27,2507,68.15
2017-01-07 16:00:00+00:00,71.5,2523,70.7
2017-01-07 17:00:00+00:00,69.61,2518,75.74
2017-01-07 18:00:00+00:00,69.2,2502,152.26
2017-01-07 19:00:00+00:00,68.07,2496,119.25
2017-01-07 20:00:00+00:00,66.81,2520,87.94
2017-01-07 21:00:00+00:00,70.72,2639,93.99
2017-01-07 22:00:00+00:00,89.21,2865,104.89
2017-01-07 23:00:00+00:00,80.66,2879,104.35
2017-01-08 00:00:00+00:00,77.57,2808,280.41
2017-01-08 01:00:00+00:00,71.82,2731,155.79
2017-01-08 02:00:00+00:00,71.0,2631,80.13
2017-01-08 03:00:00+00:00,69.27,2508,66.36
2017-01-08 04:00:00+00:00,58.63,2365,71.17
2017-01-08 05:00:00+00:00,69.17,2216,103.67
2017-01-08 06:00:00+00:00,66.88,2111,69.54
2017-01-08 07:00:00+00:00,65.92,2049,83.42
2017-01-08 08:00:00+00:00,61.93,2020,69.38
2017-01-08 09:00:00+00:00,61.94,2025,67.85
2017-01-08 10:00:00+00:00,61.61,2055,51.53
2017-01-08 11:00:00+00:00,66.25,2117,56.41
2017-01-08 12:00:00+00:00,69.32,2174,40.98
2017-01-08 13:00:00+00:00,75.82,2267,52.18
2017-01-08 14:00:00+00:00,88.59,2368,65.39
2017-01-08 15:00:00+00:00,88.54,2419,84.67
2017-01-08 16:00:00+00:00,95.1,2443,77.8
2017-01-08 17:00:00+00:00,81.54,2445,92.82
2017-01-08 18:00:00+00:00,80.0,2436,86.84
2017-01-08 19:00:00+00:00,89.74,2437,67.26
2017-01-08 20:00:00+00:00,93.72,2473,60.93
2017-01-08 21:00:00+00:00,99.02,2620,66.58
2017-01-08 22:00:00+00:00,143.62,2900,91.36
2017-01-08 23:00:00+00:00,145.0,2950,91.74
2017-01-09 00:00:00+00:00,137.6,2906,68.6
2017-01-09 01:00:00+00:00,117.15,2840,89.56
2017-01-09 02:00:00+00:00,109.75,2722,57.96
2017-01-09 03:00:00+00:00,87.58,2558,56.24
2017-01-09 04:00:00+00:00,68.36,2375,65.28
2017-01-09 05:00:00+00:00,75.0,2245,54.38
2017-01-09 06:00:00+00:00,71.99,2157,59.5
2017-01-09 07:00:00+00:00,71.56,2111,60.2
2017-01-09 08:00:00+00:00,71.57,2099,64.78
2017-01-09 09:00:00+00:00,69.89,2136,47.66
2017-01-09 10:00:00+00:00,77.81,2259,55.73
2017-01-09 11:00:00+00:00,102.0,2502,73.99
2017-01-09 12:00:00+00:00,117.18,2670,70.04
2017-01-09 13:00:00+00:00,116.22,2711,62.19
2017-01-09 14:00:00+00:00,114.06,2732,71.75
2017-01-09 15:00:00+00:00,107.93,2747,155.24
2017-01-09 16:00:00+00:00,100.0,2736,123.2
2017-01-09 17:00:00+00:00,89.89,2713,91.66
2017-01-09 18:00:00+00:00,84.78,2692,78.71
2017-01-09 19:00:00+00:00,84.55,2688,68.8
2017-01-09 20:00:00+00:00,88.17,2711,71.35
2017-01-09 21:00:00+00:00,128.57,2832,75.89
2017-01-09 22:00:00+00:00,149.02,3090,91.58
2017-01-09 23:00:00+00:00,176.67,3132,142.61
2017-01-10 00:00:00+00:00,172.76,3071,79.81
2017-01-10 01:00:00+00:00,149.02,2970,68.67
2017-01-10 02:00:00+00:00,113.24,2809,64.63
2017-01-10 03:00:00+00:00,85.57,2588,64.7
2017-01-10 04:00:00+00:00,66.7,2363,49.34
2017-01-10 05:00:00+00:00,76.03,2189,180.11
2017-01-10 06:00:00+00:00,69.2,2091,96.36
2017-01-10 07:00:00+00:00,69.03,2034,57.83
2017-01-10 08:00:00+00:00,67.37,2008,65.36
2017-01-10 09:00:00+00:00,66.49,2033,68.27
2017-01-10 10:00:00+00:00,77.41,2145,112.8
2017-01-10 11:00:00+00:00,87.94,2366,128.51
2017-01-10 12:00:00+00:00,91.4,2520,70.43
2017-01-10 13:00:00+00:00,94.53,2548,73.44
2017-01-10 14:00:00+00:00,91.04,2554,68.73
2017-01-10 15:00:00+00:00,62.89,2543,54.27
2017-01-10 16:00:00+00:00,57.57,2523,41.64
2017-01-10 17:00:00+00:00,55.33,2497,40.7
2017-01-10 18:00:00+00:00,54.44,2480,41.25
2017-01-10 19:00:00+00:00,54.25,2474,43.78
2017-01-10 20:00:00+00:00,55.93,2508,40.61
2017-01-10 21:00:00+00:00,62.61,2632,41.27
2017-01-10 22:00:00+00:00,78.56,2844,44.57
2017-01-10 23:00:00+00:00,92.9,2851,43.39
2017-01-11 00:00:00+00:00,70.57,2777,40.25
2017-01-11 01:00:00+00:00,64.3,2679,35.26
2017-01-11 02:00:00+00:00,57.45,2526,29.43
2017-01-11 03:00:00+00:00,51.82,2310,28.7
2017-01-11 04:00:00+00:00,45.18,2092,22.55
