date,DAP,LF,RTP
2017-01-01 05:00:00+00:00,15.98,650,3.76
2017-01-01 06:00:00+00:00,12.34,621,2.56
2017-01-01 07:00:00+00:00,10.67,597,2.58
2017-01-01 08:00:00+00:00,9.97,584,1.0
2017-01-01 09:00:00+00:00,10.58,581,5.76
2017-01-01 10:00:00+00:00,10.85,586,5.45
2017-01-01 11:00:00+00:00,12.59,584,7.15
2017-01-01 12:00:00+00:00,13.0,595,12.69
2017-01-01 13:00:00+00:00,15.86,651,4.48
2017-01-01 14:00:00+00:00,18.53,712,14.77
2017-01-01 15:00:00+00:00,19.46,741,14.42
2017-01-01 16:00:00+00:00,21.13,750,5.68
2017-01-01 17:00:00+00:00,21.3,748,6.64
2017-01-01 18:00:00+00:00,21.31,733,15.39
2017-01-01 19:00:00+00:00,22.34,719,16.44
2017-01-01 20:00:00+00:00,23.98,736,15.29
2017-01-01 21:00:00+00:00,32.26,797,20.51
2017-01-01 22:00:00+00:00,42.9,881,52.45
2017-01-01 23:00:00+00:00,38.3,872,42.57
2017-01-02 00:00:00+00:00,36.92,857,31.38
2017-01-02 01:00:00+00:00,34.05,834,26.51
2017-01-02 02:00:00+00:00,28.75,785,22.1
2017-01-02 03:00:00+00:00,25.0,733,21.77
2017-01-02 04:00:00+00:00,25.97,689,16.54
2017-01-02 05:00:00+00:00,27.34,628,25.68
2017-01-02 06:00:00+00:00,21.86,615,22.5
2017-01-02 07:00:00+00:00,21.4,608,20.41
2017-01-02 08:00:00+00:00,17.12,602,18.28
2017-01-02 09:00:00+00:00,21.19,613,22.44
2017-01-02 10:00:00+00:00,23.39,660,22.81
2017-01-02 11:00:00+00:00,25.67,691,23.68
2017-01-02 12:00:00+00:00,20.55,714,23.62
2017-01-02 13:00:00+00:00,21.11,752,59.97
2017-01-02 14:00:00+00:00,24.19,796,102.04
2017-01-02 15:00:00+00:00,25.05,828,173.73
2017-01-02 16:00:00+00:00,27.88,834,34.72
2017-01-02 17:00:00+00:00,28.56,824,33.2
2017-01-02 18:00:00+00:00,29.03,804,29.95
2017-01-02 19:00:00+00:00,25.72,787,30.44
2017-01-02 20:00:00+00:00,25.99,790,31.69
2017-01-02 21:00:00+00:00,35.78,820,39.23
2017-01-02 22:00:00+00:00,52.71,909,32.94
2017-01-02 23:00:00+00:00,44.62,894,56.65
2017-01-03 00:00:00+00:00,38.82,864,34.51
2017-01-03 01:00:00+00:00,33.42,828,41.95
2017-01-03 02:00:00+00:00,27.6,769,69.07
2017-01-03 03:00:00+00:00,20.22,702,26.43
2017-01-03 04:00:00+00:00,19.01,653,26.82
2017-01-03 05:00:00+00:00,20.56,653,29.27
2017-01-03 06:00:00+00:00,16.94,633,29.04
2017-01-03 07:00:00+00:00,15.29,620,23.63
2017-01-03 08:00:00+00:00,15.78,616,15.63
2017-01-03 09:00:00+00:00,15.79,628,26.14
2017-01-03 10:00:00+00:00,21.91,678,17.74
2017-01-03 11:00:00+00:00,29.12,765,23.74
2017-01-03 12:00:00+00:00,32.05,813,28.6
2017-01-03 13:00:00+00:00,32.58,817,30.99
2017-01-03 14:00:00+00:00,32.27,828,31.45
2017-01-03 15:00:00+00:00,33.52,839,36.43
2017-01-03 16:00:00+00:00,34.98,839,37.42
2017-01-03 17:00:00+00:00,32.85,832,42.05
2017-01-03 18:00:00+00:00,32.72,826,47.0
2017-01-03 19:00:00+00:00,32.43,820,39.81
2017-01-03 20:00:00+00:00,31.56,817,47.89
2017-01-03 21:00:00+00:00,36.1,846,43.46
2017-01-03 22:00:00+00:00,50.73,900,47.48
2017-01-03 23:00:00+00:00,45.5,892,38.48
2017-01-04 00:00:00+00:00,42.38,870,32.44
2017-01-04 01:00:00+00:00,36.25,837,28.64
2017-01-04 02:00:00+00:00,31.6,787,25.23
2017-01-04 03:00:00+00:00,25.96,729,32.28
2017-01-04 04:00:00+00:00,24.03,677,24.3
2017-01-04 05:00:00+00:00,22.51,645,20.63
2017-01-04 06:00:00+00:00,18.54,619,22.74
2017-01-04 07:00:00+00:00,16.36,606,23.53
2017-01-04 08:00:00+00:00,16.87,603,16.59
2017-01-04 09:00:00+00:00,16.67,619,25.55
2017-01-04 10:00:00+00:00,21.49,673,28.17
2017-01-04 11:00:00+00:00,29.31,783,28.79
2017-01-04 12:00:00+00:00,33.6,837,32.66
2017-01-04 13:00:00+00:00,34.25,836,29.63
2017-01-04 14:00:00+00:00,32.38,843,29.16
2017-01-04 15:00:00+00:00,32.32,854,26.64
2017-01-04 16:00:00+00:00,31.31,855,24.07
2017-01-04 17:00:00+00:00,29.5,850,30.23
2017-01-04 18:00:00+00:00,28.63,847,31.64
2017-01-04 19:00:00+00:00,28.77,844,28.92
2017-01-04 20:00:00+00:00,27.57,848,22.52
2017-01-04 21:00:00+00:00,33.31,897,27.3
2017-01-04 22:00:00+00:00,47.53,972,86.02
2017-01-04 23:00:00+00:00,42.39,969,40.42
2017-01-05 00:00:00+00:00,36.44,948,33.61
2017-01-05 01:00:00+00:00,32.3,914,29.88
2017-01-05 02:00:00+00:00,28.23,854,28.81
2017-01-05 03:00:00+00:00,24.46,789,21.14
2017-01-05 04:00:00+00:00,22.05,736,22.58
2017-01-05 05:00:00+00:00,24.45,718,23.0
2017-01-05 06:00:00+00:00,21.3,697,22.32
2017-01-05 07:00:00+00:00,19.44,685,21.5
2017-01-05 08:00:00+00:00,19.81,683,15.24
2017-01-05 09:00:00+00:00,19.92,704,15.8
2017-01-05 10:00:00+00:00,26.09,762,12.15
2017-01-05 11:00:00+00:00,33.99,869,20.88
2017-01-05 12:00:00+00:00,35.33,925,28.8
2017-01-05 13:00:00+00:00,33.09,926,29.34
2017-01-05 14:00:00+00:00,32.6,933,27.79
2017-01-05 15:00:00+00:00,32.15,938,33.82
2017-01-05 16:00:00+00:00,31.42,931,33.56
2017-01-05 17:00:00+00:00,29.87,920,32.8
2017-01-05 18:00:00+00:00,29.2,915,37.1
2017-01-05 19:00:00+00:00,29.01,907,39.73
2017-01-05 20:00:00+00:00,29.37,906,33.67
2017-01-05 21:00:00+00:00,34.69,942,65.15
2017-01-05 22:00:00+00:00,52.77,1004,52.15
2017-01-05 23:00:00+00:00,49.93,1004,34.19
2017-01-06 00:00:00+00:00,43.85,987,36.59
2017-01-06 01:00:00+00:00,36.67,957,40.15
2017-01-06 02:00:00+00:00,32.05,907,36.76
2017-01-06 03:00:00+00:00,30.3,847,34.8
2017-01-06 04:00:00+00:00,28.74,794,28.18
2017-01-06 05:00:00+00:00,30.73,769,28.35
2017-01-06 06:00:00+00:00,28.45,746,27.48
2017-01-06 07:00:00+00:00,28.34,732,27.22
2017-01-06 08:00:00+00:00,28.32,730,26.68
2017-01-06 09:00:00+00:00,28.38,749,27.14
2017-01-06 10:00:00+00:00,32.11,804,33.42
2017-01-06 11:00:00+00:00,44.79,905,34.79
2017-01-06 12:00:00+00:00,48.42,960,34.12
2017-01-06 13:00:00+00:00,49.32,960,33.38
2017-01-06 14:00:00+00:00,48.09,960,35.42
2017-01-06 15:00:00+00:00,47.43,959,33.33
2017-01-06 16:00:00+00:00,46.84,946,35.94
2017-01-06 17:00:00+00:00,41.87,932,32.82
2017-01-06 18:00:00+00:00,39.97,925,33.36
2017-01-06 19:00:00+00:00,37.7,919,31.96
2017-01-06 20:00:00+00:00,38.28,915,36.68
2017-01-06 21:00:00+00:00,41.64,942,43.34
2017-01-06 22:00:00+00:00,58.45,995,47.13
2017-01-06 23:00:00+00:00,55.76,999,45.7
2017-01-07 00:00:00+00:00,50.89,982,39.02
2017-01-07 01:00:00+00:00,44.01,957,43.44
2017-01-07 02:00:00+00:00,42.64,926,40.37
2017-01-07 03:00:00+00:00,36.89,882,38.52
2017-01-07 04:00:00+00:00,31.22,834,32.89
2017-01-07 05:00:00+00:00,33.61,793,31.13
2017-01-07 06:00:00+00:00,30.55,761,31.35
2017-01-07 07:00:00+00:00,29.2,752,31.1
2017-01-07 08:00:00+00:00,29.52,749,27.91
2017-01-07 09:00:00+00:00,29.55,759,29.85
2017-01-07 10:00:00+00:00,31.52,781,27.5
