date,DAP,LF,RTP
2017-01-01 05:00:00+00:00,33.6,5065,32.28
2017-01-01 06:00:00+00:00,32.05,4934,30.77
2017-01-01 07:00:00+00:00,29.23,4812,31.17
2017-01-01 08:00:00+00:00,25.02,4728,32.0
2017-01-01 09:00:00+00:00,26.94,4665,27.89
2017-01-01 10:00:00+00:00,25.62,4605,28.23
2017-01-01 11:00:00+00:00,24.03,4501,34.64
2017-01-01 12:00:00+00:00,27.36,4390,25.44
2017-01-01 13:00:00+00:00,30.58,4437,22.86
2017-01-01 14:00:00+00:00,35.4,4579,24.67
2017-01-01 15:00:00+00:00,31.5,4744,21.21
2017-01-01 16:00:00+00:00,30.45,4882,16.89
2017-01-01 17:00:00+00:00,31.78,4950,13.19
2017-01-01 18:00:00+00:00,29.96,4964,16.26
2017-01-01 19:00:00+00:00,30.08,4984,18.27
2017-01-01 20:00:00+00:00,30.09,5003,17.37
2017-01-01 21:00:00+00:00,35.3,5080,25.78
2017-01-01 22:00:00+00:00,45.54,5272,55.03
2017-01-01 23:00:00+00:00,40.93,5379,44.72
2017-01-02 00:00:00+00:00,39.6,5429,33.21
2017-01-02 01:00:00+00:00,37.35,5431,31.0
2017-01-02 02:00:00+00:00,35.54,5396,28.54
2017-01-02 03:00:00+00:00,31.84,5300,27.83
2017-01-02 04:00:00+00:00,29.81,5136,25.31
2017-01-02 05:00:00+00:00,36.16,4786,28.3
2017-01-02 06:00:00+00:00,35.07,4617,26.34
2017-01-02 07:00:00+00:00,30.14,4472,25.45
2017-01-02 08:00:00+00:00,27.35,4380,27.66
2017-01-02 09:00:00+00:00,29.9,4363,26.96
2017-01-02 10:00:00+00:00,29.9,4454,28.66
2017-01-02 11:00:00+00:00,32.03,4613,28.27
2017-01-02 12:00:00+00:00,35.55,4782,28.47
2017-01-02 13:00:00+00:00,38.98,5056,64.95
2017-01-02 14:00:00+00:00,43.58,5281,106.87
2017-01-02 15:00:00+00:00,39.17,5512,181.24
2017-01-02 16:00:00+00:00,39.42,5742,43.26
2017-01-02 17:00:00+00:00,39.52,5818,35.22
2017-01-02 18:00:00+00:00,37.79,5810,32.04
2017-01-02 19:00:00+00:00,36.07,5826,32.32
2017-01-02 20:00:00+00:00,36.99,5820,33.7
2017-01-02 21:00:00+00:00,43.85,5923,41.54
2017-01-02 22:00:00+00:00,56.59,6149,34.75
2017-01-02 23:00:00+00:00,49.95,6080,59.8
2017-01-03 00:00:00+00:00,45.8,5976,36.68
