date,DAP,LF,RTP
2017-01-01 05:00:00+00:00,11.65,492,-1.74
2017-01-01 06:00:00+00:00,7.89,483,-2.9
2017-01-01 07:00:00+00:00,6.57,478,-2.99
2017-01-01 08:00:00+00:00,6.55,474,-4.92
2017-01-01 09:00:00+00:00,6.85,472,1.25
2017-01-01 10:00:00+00:00,7.42,474,0.97
2017-01-01 11:00:00+00:00,9.61,475,1.74
2017-01-01 12:00:00+00:00,9.49,481,9.56
2017-01-01 13:00:00+00:00,12.08,496,0.9
2017-01-01 14:00:00+00:00,14.06,513,11.93
2017-01-01 15:00:00+00:00,15.89,519,12.2
2017-01-01 16:00:00+00:00,17.88,522,3.4
2017-01-01 17:00:00+00:00,17.89,523,5.07
2017-01-01 18:00:00+00:00,18.28,515,14.09
2017-01-01 19:00:00+00:00,19.38,511,15.12
2017-01-01 20:00:00+00:00,21.33,514,14.14
2017-01-01 21:00:00+00:00,29.6,531,18.55
2017-01-01 22:00:00+00:00,39.55,552,48.88
2017-01-01 23:00:00+00:00,35.05,555,39.72
2017-01-02 00:00:00+00:00,33.93,551,29.18
2017-01-02 01:00:00+00:00,31.21,545,24.13
2017-01-02 02:00:00+00:00,25.72,530,19.73
2017-01-02 03:00:00+00:00,22.31,516,19.57
2017-01-02 04:00:00+00:00,23.82,508,14.11
2017-01-02 05:00:00+00:00,24.18,502,23.81
2017-01-02 06:00:00+00:00,18.26,496,20.7
2017-01-02 07:00:00+00:00,18.7,490,18.49
2017-01-02 08:00:00+00:00,14.34,487,15.69
2017-01-02 09:00:00+00:00,18.5,490,20.64
2017-01-02 10:00:00+00:00,21.1,499,20.73
2017-01-02 11:00:00+00:00,23.35,513,21.8
2017-01-02 12:00:00+00:00,17.05,521,21.64
2017-01-02 13:00:00+00:00,17.06,534,56.19
2017-01-02 14:00:00+00:00,19.72,541,95.97
2017-01-02 15:00:00+00:00,21.42,548,162.43
2017-01-02 16:00:00+00:00,24.51,544,31.27
2017-01-02 17:00:00+00:00,25.33,542,30.99
2017-01-02 18:00:00+00:00,26.16,533,27.95
2017-01-02 19:00:00+00:00,22.71,526,28.4
2017-01-02 20:00:00+00:00,22.86,528,29.53
2017-01-02 21:00:00+00:00,32.42,542,36.43
2017-01-02 22:00:00+00:00,48.97,564,30.6
2017-01-02 23:00:00+00:00,41.26,559,52.49
2017-01-03 00:00:00+00:00,35.55,552,31.92
2017-01-03 01:00:00+00:00,30.29,541,39.15
2017-01-03 02:00:00+00:00,24.63,521,64.73
2017-01-03 03:00:00+00:00,17.18,502,24.37
2017-01-03 04:00:00+00:00,16.48,490,25.32
2017-01-03 05:00:00+00:00,17.54,492,28.07
2017-01-03 06:00:00+00:00,13.62,490,27.89
2017-01-03 07:00:00+00:00,12.12,487,21.07
2017-01-03 08:00:00+00:00,12.67,486,12.61
2017-01-03 09:00:00+00:00,12.5,489,24.69
2017-01-03 10:00:00+00:00,19.24,497,15.28
2017-01-03 11:00:00+00:00,26.3,513,20.96
2017-01-03 12:00:00+00:00,28.45,522,24.87
2017-01-03 13:00:00+00:00,28.39,522,28.89
2017-01-03 14:00:00+00:00,27.47,526,28.91
2017-01-03 15:00:00+00:00,29.81,527,34.03
2017-01-03 16:00:00+00:00,31.39,528,34.66
2017-01-03 17:00:00+00:00,29.5,528,39.32
2017-01-03 18:00:00+00:00,29.44,526,43.98
2017-01-03 19:00:00+00:00,29.2,524,37.18
2017-01-03 20:00:00+00:00,27.87,523,44.52
2017-01-03 21:00:00+00:00,31.74,529,40.19
2017-01-03 22:00:00+00:00,46.73,538,43.91
2017-01-03 23:00:00+00:00,41.78,534,35.6
2017-01-04 00:00:00+00:00,39.14,532,29.98
2017-01-04 01:00:00+00:00,33.31,527,26.47
2017-01-04 02:00:00+00:00,28.66,516,23.44
2017-01-04 03:00:00+00:00,23.26,505,30.26
2017-01-04 04:00:00+00:00,21.73,499,21.6
2017-01-04 05:00:00+00:00,19.42,483,18.26
2017-01-04 06:00:00+00:00,15.51,474,20.68
2017-01-04 07:00:00+00:00,13.12,470,22.36
2017-01-04 08:00:00+00:00,13.74,468,13.86
2017-01-04 09:00:00+00:00,13.41,473,24.77
2017-01-04 10:00:00+00:00,18.56,491,27.6
2017-01-04 11:00:00+00:00,26.0,521,27.19
2017-01-04 12:00:00+00:00,29.93,534,31.29
2017-01-04 13:00:00+00:00,30.36,530,28.32
2017-01-04 14:00:00+00:00,27.75,532,27.78
2017-01-04 15:00:00+00:00,28.0,529,24.88
2017-01-04 16:00:00+00:00,26.9,530,21.42
2017-01-04 17:00:00+00:00,25.17,532,28.1
2017-01-04 18:00:00+00:00,24.17,525,29.46
2017-01-04 19:00:00+00:00,24.51,522,26.51
2017-01-04 20:00:00+00:00,22.96,525,19.77
2017-01-04 21:00:00+00:00,28.3,543,24.61
2017-01-04 22:00:00+00:00,42.23,565,77.27
2017-01-04 23:00:00+00:00,37.52,570,36.25
2017-01-05 00:00:00+00:00,31.28,565,30.18
2017-01-05 01:00:00+00:00,27.85,556,26.8
2017-01-05 02:00:00+00:00,23.93,540,25.86
