date,DAP,LF,RTP
2017-01-01 05:00:00+00:00,15.49,1574,3.39
2017-01-01 06:00:00+00:00,11.97,1527,2.21
2017-01-01 07:00:00+00:00,10.36,1495,2.21
2017-01-01 08:00:00+00:00,9.74,1478,0.64
2017-01-01 09:00:00+00:00,10.35,1469,5.24
2017-01-01 10:00:00+00:00,10.56,1463,5.12
2017-01-01 11:00:00+00:00,12.36,1448,6.68
2017-01-01 12:00:00+00:00,12.48,1450,11.85
2017-01-01 13:00:00+00:00,15.11,1471,4.15
2017-01-01 14:00:00+00:00,17.64,1522,13.82
2017-01-01 15:00:00+00:00,18.71,1552,13.32
2017-01-01 16:00:00+00:00,20.01,1573,5.27
2017-01-01 17:00:00+00:00,20.13,1583,6.1
2017-01-01 18:00:00+00:00,20.08,1581,13.96
2017-01-01 19:00:00+00:00,21.01,1580,14.84
2017-01-01 20:00:00+00:00,22.5,1593,13.67
2017-01-01 21:00:00+00:00,29.9,1655,18.43
2017-01-01 22:00:00+00:00,39.84,1789,47.29
2017-01-01 23:00:00+00:00,35.79,1823,38.31
2017-01-02 00:00:00+00:00,34.5,1823,28.22
2017-01-02 01:00:00+00:00,31.65,1808,23.73
2017-01-02 02:00:00+00:00,26.84,1771,19.81
2017-01-02 03:00:00+00:00,23.71,1717,19.48
2017-01-02 04:00:00+00:00,24.91,1659,14.89
2017-01-02 05:00:00+00:00,26.43,1537,23.43
2017-01-02 06:00:00+00:00,21.04,1494,20.49
2017-01-02 07:00:00+00:00,20.65,1470,18.68
2017-01-02 08:00:00+00:00,16.58,1459,16.66
2017-01-02 09:00:00+00:00,20.56,1477,20.42
2017-01-02 10:00:00+00:00,22.54,1508,20.74
2017-01-02 11:00:00+00:00,24.4,1571,21.43
2017-01-02 12:00:00+00:00,19.5,1639,21.22
2017-01-02 13:00:00+00:00,20.12,1659,53.8
2017-01-02 14:00:00+00:00,23.0,1698,92.0
2017-01-02 15:00:00+00:00,23.63,1756,157.5
2017-01-02 16:00:00+00:00,25.97,1771,31.08
2017-01-02 17:00:00+00:00,26.67,1761,29.48
2017-01-02 18:00:00+00:00,27.05,1744,26.74
2017-01-02 19:00:00+00:00,24.12,1741,27.33
2017-01-02 20:00:00+00:00,24.45,1735,28.5
2017-01-02 21:00:00+00:00,33.59,1756,35.56
2017-01-02 22:00:00+00:00,48.98,1913,29.84
2017-01-02 23:00:00+00:00,41.65,1927,51.59
2017-01-03 00:00:00+00:00,36.38,1901,31.28
2017-01-03 01:00:00+00:00,31.48,1863,38.08
2017-01-03 02:00:00+00:00,25.9,1788,62.24
2017-01-03 03:00:00+00:00,19.19,1686,23.88
2017-01-03 04:00:00+00:00,18.33,1587,24.79
2017-01-03 05:00:00+00:00,20.04,1533,27.35
2017-01-03 06:00:00+00:00,16.55,1499,27.16
2017-01-03 07:00:00+00:00,15.0,1482,21.87
2017-01-03 08:00:00+00:00,15.45,1474,14.44
2017-01-03 09:00:00+00:00,15.47,1491,24.45
2017-01-03 10:00:00+00:00,21.31,1553,16.56
2017-01-03 11:00:00+00:00,27.86,1671,21.74
2017-01-03 12:00:00+00:00,30.52,1765,26.23
2017-01-03 13:00:00+00:00,31.2,1768,28.44
2017-01-03 14:00:00+00:00,30.92,1790,28.82
2017-01-03 15:00:00+00:00,31.85,1804,33.55
2017-01-03 16:00:00+00:00,33.0,1811,34.2
2017-01-03 17:00:00+00:00,31.21,1803,38.47
