"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWH"
"03/09/2015 00:00","CAPITL",61757,43.86,1.78,-17.65
"03/09/2015 00:00","CENTRL",61754,26.77,0.24,-2.11
"03/09/2015 00:00","DUNWOD",61760,40.19,2.27,-13.50
"03/09/2015 00:00","GENESE",61753,25.75,-0.34,-1.67
"03/09/2015 00:00","H Q",61844,23.71,-0.71,0.00
"03/09/2015 00:00","HUD VL",61758,39.73,2.20,-13.11
"03/09/2015 00:00","LONGIL",61762,40.47,2.54,-13.51
"03/09/2015 00:00","MHK VL",61756,27.61,0.88,-2.31
"03/09/2015 00:00","MILLWD",61759,40.33,2.34,-13.56
"03/09/2015 00:00","N.Y.C.",61761,40.25,2.32,-13.51
"03/09/2015 00:00","NORTH",61755,23.37,-1.05,0.00
"03/09/2015 00:00","NPX",61845,42.27,2.05,-15.80
"03/09/2015 00:00","O H",61846,25.88,-0.76,-2.22
"03/09/2015 00:00","PJM",61847,34.01,0.85,-8.74
"03/09/2015 00:00","WEST",61752,26.31,-0.27,-2.15
"03/09/2015 01:00","CAPITL",61757,44.03,1.68,-18.99
"03/09/2015 01:00","CENTRL",61754,25.81,0.19,-2.27
"03/09/2015 01:00","DUNWOD",61760,39.95,2.08,-14.52
"03/09/2015 01:00","GENESE",61753,24.70,-0.44,-1.79
"03/09/2015 01:00","H Q",61844,22.70,-0.65,0.00
"03/09/2015 01:00","HUD VL",61758,39.56,2.10,-14.11
"03/09/2015 01:00","LONGIL",61762,39.85,1.96,-14.53
"03/09/2015 01:00","MHK VL",61756,26.65,0.82,-2.48
"03/09/2015 01:00","MILLWD",61759,40.12,2.17,-14.59
"03/09/2015 01:00","N.Y.C.",61761,39.99,2.10,-14.53
"03/09/2015 01:00","NORTH",61755,22.40,-0.96,0.00
"03/09/2015 01:00","NPX",61845,42.26,1.92,-16.99
"03/09/2015 01:00","O H",61846,24.94,-0.79,-2.38
"03/09/2015 01:00","PJM",61847,33.52,0.77,-9.40
"03/09/2015 01:00","WEST",61752,25.32,-0.35,-2.32
"03/09/2015 02:00","CAPITL",61757,41.52,1.64,-16.71
"03/09/2015 02:00","CENTRL",61754,25.34,0.18,-2.00
"03/09/2015 02:00","DUNWOD",61760,38.00,2.06,-12.78
"03/09/2015 02:00","GENESE",61753,24.33,-0.42,-1.58
"03/09/2015 02:00","H Q",61844,22.52,-0.65,0.00
"03/09/2015 02:00","HUD VL",61758,37.66,2.09,-12.41
"03/09/2015 02:00","LONGIL",61762,37.82,1.88,-12.78
"03/09/2015 02:00","MHK VL",61756,26.16,0.81,-2.18
"03/09/2015 02:00","MILLWD",61759,38.16,2.15,-12.84
"03/09/2015 02:00","N.Y.C.",61761,38.06,2.11,-12.78
"03/09/2015 02:00","NORTH",61755,22.21,-0.95,0.00
"03/09/2015 02:00","NPX",61845,40.02,1.90,-14.96
"03/09/2015 02:00","O H",61846,24.50,-0.76,-2.10
"03/09/2015 02:00","PJM",61847,32.22,0.79,-8.27
"03/09/2015 02:00","WEST",61752,24.88,-0.32,-2.04
"03/09/2015 03:00","CAPITL",61757,40.47,1.72,-14.84
"03/09/2015 03:00","CENTRL",61754,25.89,0.21,-1.77
"03/09/2015 03:00","DUNWOD",61760,37.38,2.13,-11.35
"03/09/2015 03:00","GENESE",61753,24.95,-0.36,-1.40
"03/09/2015 03:00","H Q",61844,23.21,-0.69,0.00
"03/09/2015 03:00","HUD VL",61758,37.08,2.15,-11.02
"03/09/2015 03:00","LONGIL",61762,37.29,2.03,-11.35
"03/09/2015 03:00","MHK VL",61756,26.68,0.84,-1.94
"03/09/2015 03:00","MILLWD",61759,37.55,2.25,-11.40
"03/09/2015 03:00","N.Y.C.",61761,37.43,2.18,-11.35
"03/09/2015 03:00","NORTH",61755,22.88,-1.03,0.00
"03/09/2015 03:00","NPX",61845,39.17,1.98,-13.28
"03/09/2015 03:00","O H",61846,25.05,-0.72,-1.86
"03/09/2015 03:00","PJM",61847,32.08,0.84,-7.34
"03/09/2015 03:00","WEST",61752,25.48,-0.24,-1.81
"03/09/2015 04:00","CAPITL",61757,42.90,1.77,-16.63
"03/09/2015 04:00","CENTRL",61754,26.64,0.15,-1.99
"03/09/2015 04:00","DUNWOD",61760,39.38,2.16,-12.72
"03/09/2015 04:00","GENESE",61753,25.61,-0.47,-1.57
"03/09/2015 04:00","H Q",61844,23.87,-0.64,0.00
"03/09/2015 04:00","HUD VL",61758,38.99,2.13,-12.35
"03/09/2015 04:00","LONGIL",61762,39.51,2.28,-12.72
"03/09/2015 04:00","MHK VL",61756,27.56,0.88,-2.17
"03/09/2015 04:00","MILLWD",61759,39.54,2.25,-12.78
"03/09/2015 04:00","N.Y.C.",61761,39.41,2.18,-12.72
"03/09/2015 04:00","NORTH",61755,23.72,-0.79,0.00
"03/09/2015 04:00","NPX",61845,41.40,2.01,-14.88
"03/09/2015 04:00","O H",61846,25.66,-0.93,-2.09
"03/09/2015 04:00","PJM",61847,33.47,0.73,-8.23
"03/09/2015 04:00","WEST",61752,26.10,-0.44,-2.03
"03/09/2015 05:00","CAPITL",61757,44.38,2.13,-13.05
"03/09/2015 05:00","CENTRL",61754,31.00,0.23,-1.56
"03/09/2015 05:00","DUNWOD",61760,41.77,2.60,-9.97
"03/09/2015 05:00","GENESE",61753,29.97,-0.47,-1.24
"03/09/2015 05:00","H Q",61844,28.34,-0.79,0.07
"03/09/2015 05:00","HUD VL",61758,41.46,2.57,-9.69
"03/09/2015 05:00","LONGIL",61762,42.01,2.83,-9.98
"03/09/2015 05:00","MHK VL",61756,31.95,1.08,-1.67
"03/09/2015 05:00","MILLWD",61759,41.91,2.68,-10.02
"03/09/2015 05:00","N.Y.C.",61761,41.81,2.63,-9.98
"03/09/2015 05:00","NORTH",61755,28.26,-0.94,0.00
"03/09/2015 05:00","NPX",61845,52.85,2.42,-21.23
"03/09/2015 05:00","O H",61846,29.55,-1.31,-1.66
"03/09/2015 05:00","PJM",61847,36.46,0.85,-6.41
"03/09/2015 05:00","WEST",61752,30.15,-0.73,-1.68
"03/09/2015 06:00","CAPITL",61757,43.77,2.80,-3.69
"03/09/2015 06:00","CENTRL",61754,37.87,0.15,-0.44
"03/09/2015 06:00","DUNWOD",61760,43.91,3.80,-2.82
"03/09/2015 06:00","GENESE",61753,36.36,-1.27,-0.35
"03/09/2015 06:00","H Q",61844,36.89,-0.90,-0.51
"03/09/2015 06:00","HUD VL",61758,43.68,3.66,-2.74
"03/09/2015 06:00","LONGIL",61762,44.84,4.74,-2.82
"03/09/2015 06:00","MHK VL",61756,39.28,1.53,-0.47
"03/09/2015 06:00","MILLWD",61759,44.03,3.91,-2.84
"03/09/2015 06:00","N.Y.C.",61761,43.98,3.88,-2.82
"03/09/2015 06:00","NORTH",61755,36.57,-0.71,0.00
"03/09/2015 06:00","NPX",61845,62.90,3.28,-22.34
"03/09/2015 06:00","O H",61846,35.45,-2.83,-1.00
"03/09/2015 06:00","PJM",61847,40.78,1.16,-2.34
"03/09/2015 06:00","WEST",61752,35.71,-2.05,-0.48
"03/09/2015 07:00","CAPITL",61757,55.42,3.28,-9.60
"03/09/2015 07:00","CENTRL",61754,44.00,0.30,-1.15
"03/09/2015 07:00","DUNWOD",61760,54.21,4.34,-7.32
"03/09/2015 07:00","GENESE",61753,41.84,-1.62,-0.91
"03/09/2015 07:00","H Q",61844,41.09,-1.02,0.44
"03/09/2015 07:00","HUD VL",61758,53.84,4.17,-7.12
"03/09/2015 07:00","LONGIL",61762,54.93,5.06,-7.33
"03/09/2015 07:00","MHK VL",61756,45.60,1.87,-1.18
"03/09/2015 07:00","MILLWD",61759,54.40,4.51,-7.35
"03/09/2015 07:00","N.Y.C.",61761,54.38,4.51,-7.33
"03/09/2015 07:00","NORTH",61755,41.78,-0.76,0.00
"03/09/2015 07:00","NPX",61845,72.37,3.74,-26.08
"03/09/2015 07:00","O H",61846,35.00,-3.49,4.06
"03/09/2015 07:00","PJM",61847,47.98,1.10,-4.33
"03/09/2015 07:00","WEST",61752,41.23,-2.55,-1.24
"03/09/2015 08:00","CAPITL",61757,61.01,2.46,-22.94
"03/09/2015 08:00","CENTRL",61754,38.30,-0.32,-3.00
"03/09/2015 08:00","DUNWOD",61760,56.65,3.53,-17.51
"03/09/2015 08:00","GENESE",61753,36.28,-1.78,-2.44
"03/09/2015 08:00","H Q",61844,34.76,-0.86,0.00
"03/09/2015 08:00","HUD VL",61758,56.00,3.31,-17.07
"03/09/2015 08:00","LONGIL",61762,57.05,3.92,-17.52
"03/09/2015 08:00","MHK VL",61756,39.78,1.25,-2.92
"03/09/2015 08:00","MILLWD",61759,56.83,3.63,-17.58
"03/09/2015 08:00","N.Y.C.",61761,56.87,3.74,-17.51
"03/09/2015 08:00","NORTH",61755,34.83,-0.78,0.00
"03/09/2015 08:00","NPX",61845,70.07,2.95,-31.50
"03/09/2015 08:00","O H",61846,35.00,-3.63,-3.02
"03/09/2015 08:00","PJM",61847,47.65,0.57,-11.46
"03/09/2015 08:00","WEST",61752,35.94,-2.88,-3.21
"03/09/2015 09:00","CAPITL",61757,73.56,2.37,-37.33
"03/09/2015 09:00","CENTRL",61754,38.44,-0.31,-4.88
"03/09/2015 09:00","DUNWOD",61760,65.71,3.35,-28.48
"03/09/2015 09:00","GENESE",61753,36.11,-1.73,-3.97
"03/09/2015 09:00","H Q",61844,33.05,-0.81,0.00
"03/09/2015 09:00","HUD VL",61758,64.79,3.15,-27.77
"03/09/2015 09:00","LONGIL",61762,65.99,3.63,-28.50
"03/09/2015 09:00","MHK VL",61756,39.77,1.15,-4.75
"03/09/2015 09:00","MILLWD",61759,65.92,3.46,-28.60
"03/09/2015 09:00","N.Y.C.",61761,65.95,3.59,-28.50
"03/09/2015 09:00","NORTH",61755,32.99,-0.88,0.00
"03/09/2015 09:00","NPX",61845,70.00,2.78,-33.35
"03/09/2015 09:00","O H",61846,35.67,-3.56,-5.36
"03/09/2015 09:00","PJM",61847,52.93,0.41,-18.65
"03/09/2015 09:00","WEST",61752,36.24,-2.84,-5.21
"03/09/2015 10:00","CAPITL",61757,73.97,2.30,-38.83
"03/09/2015 10:00","CENTRL",61754,37.63,-0.30,-5.08
"03/09/2015 10:00","DUNWOD",61760,65.76,3.28,-29.63
"03/09/2015 10:00","GENESE",61753,35.37,-1.61,-4.13
"03/09/2015 10:00","H Q",61844,32.03,-0.82,0.00
"03/09/2015 10:00","HUD VL",61758,64.82,3.09,-28.89
"03/09/2015 10:00","LONGIL",61762,66.26,3.78,-29.64
"03/09/2015 10:00","MHK VL",61756,38.90,1.12,-4.94
"03/09/2015 10:00","MILLWD",61759,65.98,3.38,-29.75
"03/09/2015 10:00","N.Y.C.",61761,66.00,3.52,-29.64
"03/09/2015 10:00","NORTH",61755,31.96,-0.89,0.00
"03/09/2015 10:00","NPX",61845,70.20,2.66,-34.69
"03/09/2015 10:00","O H",61846,35.00,-3.42,-5.57
"03/09/2015 10:00","PJM",61847,52.64,0.40,-19.40
"03/09/2015 10:00","WEST",61752,35.58,-2.69,-5.42
"03/09/2015 11:00","CAPITL",61757,70.63,2.26,-37.00
"03/09/2015 11:00","CENTRL",61754,36.00,-0.22,-4.84
"03/09/2015 11:00","DUNWOD",61760,62.72,3.11,-28.23
"03/09/2015 11:00","GENESE",61753,33.93,-1.38,-3.93
"03/09/2015 11:00","H Q",61844,30.62,-0.75,0.00
"03/09/2015 11:00","HUD VL",61758,61.79,2.88,-27.53
"03/09/2015 11:00","LONGIL",61762,63.17,3.54,-28.25
"03/09/2015 11:00","MHK VL",61756,37.15,1.07,-4.71
"03/09/2015 11:00","MILLWD",61759,62.93,3.20,-28.35
"03/09/2015 11:00","N.Y.C.",61761,62.91,3.29,-28.24
"03/09/2015 11:00","NORTH",61755,30.62,-0.75,0.00
"03/09/2015 11:00","NPX",61845,67.01,2.57,-33.06
"03/09/2015 11:00","O H",61846,33.67,-3.01,-5.31
"03/09/2015 11:00","PJM",61847,50.30,0.44,-18.49
"03/09/2015 11:00","WEST",61752,34.22,-2.32,-5.17
"03/09/2015 12:00","CAPITL",61757,62.75,2.23,-28.60
"03/09/2015 12:00","CENTRL",61754,35.39,-0.26,-3.74
"03/09/2015 12:00","DUNWOD",61760,56.93,3.19,-21.83
"03/09/2015 12:00","GENESE",61753,33.61,-1.34,-3.04
"03/09/2015 12:00","H Q",61844,31.14,-0.77,0.00
"03/09/2015 12:00","HUD VL",61758,56.16,2.97,-21.28
"03/09/2015 12:00","LONGIL",61762,57.64,3.89,-21.84
"03/09/2015 12:00","MHK VL",61756,36.57,1.02,-3.64
"03/09/2015 12:00","MILLWD",61759,57.05,3.22,-21.92
"03/09/2015 12:00","N.Y.C.",61761,57.13,3.38,-21.84
"03/09/2015 12:00","NORTH",61755,31.14,-0.77,0.00
