Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
11/19/2016 00:00,CAPITL,61757,17.89,0.80,-4.74
11/19/2016 00:00,CENTRL,61754,12.91,0.09,-0.48
11/19/2016 00:00,DUNWOD,61760,17.00,1.43,-3.22
11/19/2016 00:00,GENESE,61753,12.46,-0.27,-0.39
11/19/2016 00:00,H Q,61844,11.98,-0.36,0.00
11/19/2016 00:00,HUD VL,61758,16.84,1.28,-3.21
11/19/2016 00:00,LONGIL,61762,17.51,1.95,-3.22
11/19/2016 00:00,MHK VL,61756,13.11,0.26,-0.51
11/19/2016 00:00,MILLWD,61759,17.00,1.39,-3.26
11/19/2016 00:00,N.Y.C.,61761,17.15,1.58,-3.23
11/19/2016 00:00,NORTH,61755,11.87,-0.47,0.00
11/19/2016 00:00,NPX,61845,17.49,1.25,-3.90
11/19/2016 00:00,O H,61846,12.55,-0.32,-0.53
11/19/2016 00:00,PJM,61847,14.68,0.56,-1.78
11/19/2016 00:00,WEST,61752,12.74,-0.10,-0.50
11/19/2016 01:00,CAPITL,61757,16.00,0.64,-5.62
11/19/2016 01:00,CENTRL,61754,10.38,0.07,-0.57
11/19/2016 01:00,DUNWOD,61760,14.60,1.04,-3.82
11/19/2016 01:00,GENESE,61753,9.98,-0.21,-0.46
11/19/2016 01:00,H Q,61844,9.46,-0.27,0.00
11/19/2016 01:00,HUD VL,61758,14.49,0.94,-3.81
11/19/2016 01:00,LONGIL,61762,14.77,1.22,-3.82
11/19/2016 01:00,MHK VL,61756,10.58,0.24,-0.60
11/19/2016 01:00,MILLWD,61759,14.62,1.02,-3.86
11/19/2016 01:00,N.Y.C.,61761,14.71,1.16,-3.82
11/19/2016 01:00,NORTH,61755,9.45,-0.29,0.00
11/19/2016 01:00,NPX,61845,15.30,0.93,-4.63
11/19/2016 01:00,O H,61846,10.15,-0.21,-0.63
11/19/2016 01:00,PJM,61847,12.28,0.43,-2.11
11/19/2016 01:00,WEST,61752,10.30,-0.03,-0.59
11/19/2016 02:00,CAPITL,61757,16.36,0.55,-7.31
11/19/2016 02:00,CENTRL,61754,9.32,0.08,-0.74
11/19/2016 02:00,DUNWOD,61760,14.35,0.88,-4.97
11/19/2016 02:00,GENESE,61753,8.95,-0.14,-0.60
11/19/2016 02:00,H Q,61844,8.25,-0.25,0.00
11/19/2016 02:00,HUD VL,61758,14.25,0.80,-4.96
11/19/2016 02:00,LONGIL,61762,14.40,0.93,-4.97
11/19/2016 02:00,MHK VL,61756,9.47,0.20,-0.78
11/19/2016 02:00,MILLWD,61759,14.40,0.88,-5.03
11/19/2016 02:00,N.Y.C.,61761,14.44,0.98,-4.97
11/19/2016 02:00,NORTH,61755,8.20,-0.30,0.00
11/19/2016 02:00,NPX,61845,15.30,0.78,-6.02
11/19/2016 02:00,O H,61846,9.20,-0.11,-0.82
11/19/2016 02:00,PJM,61847,11.64,0.39,-2.75
11/19/2016 02:00,WEST,61752,9.31,0.05,-0.77
11/19/2016 03:00,CAPITL,61757,16.01,0.56,-6.95
11/19/2016 03:00,CENTRL,61754,9.29,0.08,-0.71
11/19/2016 03:00,DUNWOD,61760,14.09,0.87,-4.72
11/19/2016 03:00,GENESE,61753,8.94,-0.13,-0.57
11/19/2016 03:00,H Q,61844,8.25,-0.25,0.00
11/19/2016 03:00,HUD VL,61758,14.01,0.80,-4.71
11/19/2016 03:00,LONGIL,61762,14.08,0.86,-4.72
11/19/2016 03:00,MHK VL,61756,9.43,0.20,-0.74
11/19/2016 03:00,MILLWD,61759,14.14,0.87,-4.78
11/19/2016 03:00,N.Y.C.,61761,14.18,0.96,-4.72
11/19/2016 03:00,NORTH,61755,8.19,-0.31,0.00
11/19/2016 03:00,NPX,61845,15.00,0.78,-5.72
11/19/2016 03:00,O H,61846,9.16,-0.11,-0.77
11/19/2016 03:00,PJM,61847,11.50,0.39,-2.61
