"Time Stamp","Capitl","Centrl","Dunwod","Genese","Hud Vl","Longil","Mhk Vl","Millwd","N.Y.C.","North","West","NYISO"
"09/23/2021 00:00",1239,1532,653,1018,945,2330,624,249,5861,546,1464,16461
"09/23/2021 01:00",1195,1482,620,985,901,2212,602,234,5626,543,1421,15821
"09/23/2021 02:00",1171,1456,597,964,870,2119,594,225,5448,537,1386,15367
"09/23/2021 03:00",1162,1435,579,948,853,2073,590,220,5339,534,1365,15098
"09/23/2021 04:00",1179,1448,575,953,852,2088,601,220,5334,539,1365,15154
"09/23/2021 05:00",1243,1500,604,993,892,2188,638,233,5580,553,1410,15834
"09/23/2021 06:00",1356,1639,667,1063,973,2367,698,260,6103,578,1493,17197
"09/23/2021 07:00",1428,1715,735,1114,1030,2521,735,281,6605,587,1552,18303
"09/23/2021 08:00",1467,1769,779,1163,1071,2686,751,297,7005,593,1603,19184
"09/23/2021 09:00",1494,1805,819,1190,1094,2845,765,312,7311,595,1638,19868
"09/23/2021 10:00",1523,1835,854,1213,1124,2986,777,320,7515,597,1636,20380
"09/23/2021 11:00",1550,1856,876,1221,1153,3110,787,334,7707,595,1635,20824
"09/23/2021 12:00",1580,1862,889,1216,1177,3228,796,346,7839,596,1624,21153
"09/23/2021 13:00",1614,1850,898,1204,1208,3334,819,350,7892,600,1634,21403
"09/23/2021 14:00",1619,1828,903,1183,1233,3441,817,352,7883,606,1631,21496
"09/23/2021 15:00",1622,1807,905,1179,1247,3480,805,355,7883,609,1608,21500
"09/23/2021 16:00",1641,1800,912,1182,1287,3510,797,361,7894,613,1588,21585
"09/23/2021 17:00",1666,1798,910,1174,1307,3483,785,370,7806,620,1578,21497
"09/23/2021 18:00",1678,1774,891,1149,1307,3455,795,367,7525,630,1542,21113
"09/23/2021 19:00",1664,1790,891,1160,1317,3393,806,372,7374,631,1547,20945
"09/23/2021 20:00",1614,1733,862,1133,1266,3264,779,357,7161,622,1529,20320
"09/23/2021 21:00",1538,1639,823,1073,1193,3071,731,336,6938,598,1472,19412
"09/23/2021 22:00",1438,1540,763,1006,1104,2836,682,308,6608,578,1423,18286
"09/23/2021 23:00",1344,1460,701,950,1020,2593,636,279,6236,563,1364,17146
"09/24/2021 00:00",1296,1426,657,904,963,2395,610,253,5893,553,1345,16295
"09/24/2021 01:00",1255,1375,625,872,915,2260,585,237,5634,547,1314,15619
"09/24/2021 02:00",1232,1345,599,854,883,2158,575,228,5428,542,1292,15136
"09/24/2021 03:00",1220,1326,579,845,865,2099,569,222,5288,538,1282,14833
"09/24/2021 04:00",1227,1350,572,854,858,2097,577,221,5224,540,1288,14808
"09/24/2021 05:00",1267,1418,588,901,886,2159,612,229,5366,552,1339,15317
"09/24/2021 06:00",1339,1562,627,986,945,2289,666,247,5739,575,1423,16398
"09/24/2021 07:00",1395,1624,675,1027,998,2427,701,265,6112,596,1466,17286
"09/24/2021 08:00",1429,1605,710,1041,1044,2585,694,282,6423,600,1497,17910
"09/24/2021 09:00",1444,1573,738,1042,1062,2707,655,294,6638,605,1520,18278
"09/24/2021 10:00",1443,1561,758,1047,1080,2790,622,300,6728,606,1521,18456
"09/24/2021 11:00",1438,1578,764,1057,1083,2832,601,307,6800,604,1520,18584
"09/24/2021 12:00",1420,1594,766,1066,1066,2866,589,312,6837,604,1517,18637
"09/24/2021 13:00",1403,1607,768,1072,1057,2884,600,313,6832,603,1542,18681
"09/24/2021 14:00",1378,1615,770,1072,1055,2912,602,309,6786,596,1548,18643
"09/24/2021 15:00",1359,1632,765,1084,1058,2926,611,306,6760,594,1539,18634
"09/24/2021 16:00",1359,1651,759,1106,1079,2943,631,309,6749,599,1535,18720
"09/24/2021 17:00",1376,1677,745,1106,1094,2910,644,313,6647,601,1535,18648
"09/24/2021 18:00",1387,1696,713,1094,1087,2875,676,306,6318,610,1511,18273
"09/24/2021 19:00",1382,1735,714,1109,1099,2849,697,309,6218,616,1524,18252
"09/24/2021 20:00",1349,1679,687,1091,1059,2726,682,295,6005,603,1512,17688
"09/24/2021 21:00",1307,1605,657,1042,1005,2569,650,278,5775,581,1472,16941
"09/24/2021 22:00",1252,1518,623,983,943,2402,615,256,5525,561,1433,16111
"09/24/2021 23:00",1193,1432,589,926,882,2234,576,232,5291,544,1373,15272
"09/25/2021 00:00",1149,1339,554,869,841,2058,565,216,4991,538,1302,14422
"09/25/2021 01:00",1106,1289,530,838,801,1939,549,206,4782,535,1263,13838
"09/25/2021 02:00",1087,1292,512,823,774,1857,538,200,4621,532,1247,13483
"09/25/2021 03:00",1079,1289,498,813,759,1812,535,197,4500,528,1233,13243
"09/25/2021 04:00",1085,1299,492,810,753,1803,538,197,4432,530,1237,13176
"09/25/2021 05:00",1100,1318,498,824,768,1823,551,200,4453,531,1257,13323
"09/25/2021 06:00",1132,1350,505,851,796,1872,571,207,4566,541,1275,13666
"09/25/2021 07:00",1153,1384,522,873,822,1918,606,220,4722,557,1296,14073
"09/25/2021 08:00",1161,1411,562,900,843,2021,635,239,4967,566,1335,14640
"09/25/2021 09:00",1143,1415,584,910,827,2107,609,251,5175,560,1367,14948
"09/25/2021 10:00",1119,1376,603,907,819,2168,584,256,5344,556,1374,15106
"09/25/2021 11:00",1101,1374,615,903,829,2233,575,266,5480,556,1372,15304
"09/25/2021 12:00",1107,1365,624,902,846,2299,580,274,5554,556,1382,15489
"09/25/2021 13:00",1127,1364,636,908,879,2365,583,279,5604,560,1397,15702
"09/25/2021 14:00",1167,1373,654,920,910,2450,599,288,5663,560,1412,15996
"09/25/2021 15:00",1222,1402,664,946,955,2540,615,293,5696,567,1438,16338
"09/25/2021 16:00",1288,1458,674,993,1015,2647,643,300,5717,579,1462,16776
"09/25/2021 17:00",1355,1518,676,1021,1066,2708,659,303,5713,591,1467,17077
"09/25/2021 18:00",1385,1557,676,1027,1098,2695,671,304,5686,599,1439,17137
"09/25/2021 19:00",1387,1592,669,1048,1089,2665,689,293,5690,608,1442,17172
"09/25/2021 20:00",1340,1542,656,1015,1039,2535,669,284,5610,602,1416,16708
"09/25/2021 21:00",1290,1486,640,972,994,2401,641,270,5493,591,1372,16150
"09/25/2021 22:00",1229,1419,621,930,938,2270,607,255,5327,575,1336,15507
"09/25/2021 23:00",1172,1362,591,886,872,2117,568,236,5130,559,1293,14786
"09/26/2021 00:00",1125,1301,542,839,809,1933,541,215,4832,540,1243,13920
"09/26/2021 01:00",1083,1261,515,812,767,1830,528,207,4629,535,1212,13379
"09/26/2021 02:00",1065,1264,494,795,740,1758,519,199,4459,531,1198,13022
"09/26/2021 03:00",1061,1260,476,783,727,1719,516,195,4327,529,1185,12778
"09/26/2021 04:00",1068,1260,470,777,719,1706,518,194,4250,528,1183,12673
"09/26/2021 05:00",1076,1265,475,783,730,1712,527,195,4253,532,1189,12737
"09/26/2021 06:00",1094,1282,480,799,750,1729,542,201,4326,543,1195,12941
"09/26/2021 07:00",1100,1299,490,811,761,1722,574,211,4427,556,1199,13150
