"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)","Scarcity In Effect (Y/N)"
"07/12/2015 00:00","CAPITL",61757,20.28,1.09,0.00,""
"07/12/2015 00:00","CENTRL",61754,19.54,0.35,0.00,""
"07/12/2015 00:00","DUNWOD",61760,21.38,2.19,0.00,""
"07/12/2015 00:00","GENESE",61753,19.14,-0.05,0.00,""
"07/12/2015 00:00","H Q",61844,18.58,-0.62,0.00,""
"07/12/2015 00:00","HUD VL",61758,21.25,2.06,0.00,""
"07/12/2015 00:00","LONGIL",61762,21.79,2.60,0.00,""
"07/12/2015 00:00","MHK VL",61756,19.68,0.49,0.00,""
"07/12/2015 00:00","MILLWD",61759,21.41,2.22,0.00,""
"07/12/2015 00:00","N.Y.C.",61761,21.91,2.41,-0.32,""
"07/12/2015 00:00","NORTH",61755,18.16,-1.03,0.00,""
"07/12/2015 00:00","NPX",61845,20.65,1.46,0.00,""
"07/12/2015 00:00","O H",61846,18.89,-0.30,0.00,""
"07/12/2015 00:00","PJM",61847,20.46,1.27,0.00,""
"07/12/2015 00:00","WEST",61752,19.08,-0.12,0.00,""
"07/12/2015 01:00","CAPITL",61757,16.90,0.97,0.00,""
"07/12/2015 01:00","CENTRL",61754,16.15,0.21,0.00,""
"07/12/2015 01:00","DUNWOD",61760,17.65,1.71,0.00,""
"07/12/2015 01:00","GENESE",61753,15.76,-0.18,0.00,""
"07/12/2015 01:00","H Q",61844,15.44,-0.50,0.00,""
"07/12/2015 01:00","HUD VL",61758,17.55,1.62,0.00,""
"07/12/2015 01:00","LONGIL",61762,17.93,2.00,0.00,""
"07/12/2015 01:00","MHK VL",61756,16.28,0.35,0.00,""
"07/12/2015 01:00","MILLWD",61759,17.66,1.72,0.00,""
"07/12/2015 01:00","N.Y.C.",61761,17.82,1.89,0.00,""
"07/12/2015 01:00","NORTH",61755,15.11,-0.82,0.00,""
"07/12/2015 01:00","NPX",61845,17.10,1.17,0.00,""
"07/12/2015 01:00","O H",61846,15.53,-0.41,0.00,""
"07/12/2015 01:00","PJM",61847,16.85,0.92,0.00,""
"07/12/2015 01:00","WEST",61752,15.64,-0.29,0.00,""
"07/12/2015 02:00","CAPITL",61757,14.58,0.88,0.00,""
"07/12/2015 02:00","CENTRL",61754,13.90,0.20,0.00,""
"07/12/2015 02:00","DUNWOD",61760,15.13,1.43,0.00,""
"07/12/2015 02:00","GENESE",61753,13.65,-0.06,0.00,""
"07/12/2015 02:00","H Q",61844,13.27,-0.43,0.00,""
"07/12/2015 02:00","HUD VL",61758,15.06,1.36,0.00,""
"07/12/2015 02:00","LONGIL",61762,15.37,1.67,0.00,""
"07/12/2015 02:00","MHK VL",61756,13.98,0.28,0.00,""
"07/12/2015 02:00","MILLWD",61759,15.12,1.42,0.00,""
"07/12/2015 02:00","N.Y.C.",61761,15.28,1.58,0.00,""
"07/12/2015 02:00","NORTH",61755,12.99,-0.71,0.00,""
"07/12/2015 02:00","NPX",61845,14.72,1.02,0.00,""
"07/12/2015 02:00","O H",61846,13.52,-0.18,0.00,""
"07/12/2015 02:00","PJM",61847,14.52,0.82,0.00,""
"07/12/2015 02:00","WEST",61752,13.63,-0.07,0.00,""
"07/12/2015 03:00","CAPITL",61757,17.23,1.08,0.00,""
"07/12/2015 03:00","CENTRL",61754,16.33,0.17,0.00,""
"07/12/2015 03:00","DUNWOD",61760,17.78,1.63,0.00,""
"07/12/2015 03:00","GENESE",61753,15.99,-0.17,0.00,""
"07/12/2015 03:00","H Q",61844,15.67,-0.49,0.00,""
"07/12/2015 03:00","HUD VL",61758,17.71,1.56,0.00,""
"07/12/2015 03:00","LONGIL",61762,18.06,1.90,0.00,""
"07/12/2015 03:00","MHK VL",61756,16.45,0.29,0.00,""
"07/12/2015 03:00","MILLWD",61759,17.77,1.61,0.00,""
"07/12/2015 03:00","N.Y.C.",61761,17.95,1.79,0.00,""
"07/12/2015 03:00","NORTH",61755,15.37,-0.78,0.00,""
"07/12/2015 03:00","NPX",61845,17.43,1.27,0.00,""
"07/12/2015 03:00","O H",61846,15.82,-0.34,0.00,""
"07/12/2015 03:00","PJM",61847,17.03,0.87,0.00,""
"07/12/2015 03:00","WEST",61752,15.92,-0.24,0.00,""
"07/12/2015 04:00","CAPITL",61757,18.67,1.13,0.00,""
"07/12/2015 04:00","CENTRL",61754,17.69,0.15,0.00,""
"07/12/2015 04:00","DUNWOD",61760,19.18,1.65,0.00,""
"07/12/2015 04:00","GENESE",61753,17.30,-0.23,0.00,""
"07/12/2015 04:00","H Q",61844,17.05,-0.48,0.00,""
"07/12/2015 04:00","HUD VL",61758,19.12,1.58,0.00,""
"07/12/2015 04:00","LONGIL",61762,19.49,1.96,0.00,""
"07/12/2015 04:00","MHK VL",61756,17.85,0.31,0.00,""
"07/12/2015 04:00","MILLWD",61759,19.17,1.64,0.00,""
"07/12/2015 04:00","N.Y.C.",61761,19.35,1.82,0.00,""
"07/12/2015 04:00","NORTH",61755,16.78,-0.75,0.00,""
"07/12/2015 04:00","NPX",61845,18.84,1.31,0.00,""
"07/12/2015 04:00","O H",61846,17.11,-0.43,0.00,""
"07/12/2015 04:00","PJM",61847,18.39,0.86,0.00,""
"07/12/2015 04:00","WEST",61752,17.20,-0.34,0.00,""
"07/12/2015 05:00","CAPITL",61757,16.29,1.04,0.00,""
"07/12/2015 05:00","CENTRL",61754,15.38,0.13,0.00,""
"07/12/2015 05:00","DUNWOD",61760,16.69,1.44,0.00,""
"07/12/2015 05:00","GENESE",61753,15.04,-0.21,0.00,""
"07/12/2015 05:00","H Q",61844,14.82,-0.43,0.00,""
"07/12/2015 05:00","HUD VL",61758,16.64,1.39,0.00,""
"07/12/2015 05:00","LONGIL",61762,16.94,1.69,0.00,""
"07/12/2015 05:00","MHK VL",61756,15.52,0.27,0.00,""
"07/12/2015 05:00","MILLWD",61759,16.67,1.43,0.00,""
"07/12/2015 05:00","N.Y.C.",61761,16.84,1.60,0.00,""
"07/12/2015 05:00","NORTH",61755,14.62,-0.63,0.00,""
"07/12/2015 05:00","NPX",61845,16.44,1.19,0.00,""
"07/12/2015 05:00","O H",61846,14.87,-0.38,0.00,""
"07/12/2015 05:00","PJM",61847,16.00,0.75,0.00,""
"07/12/2015 05:00","WEST",61752,14.95,-0.30,0.00,""
"07/12/2015 06:00","CAPITL",61757,11.42,0.73,0.00,""
"07/12/2015 06:00","CENTRL",61754,10.78,0.10,0.00,""
"07/12/2015 06:00","DUNWOD",61760,11.71,1.03,0.00,""
"07/12/2015 06:00","GENESE",61753,10.56,-0.12,0.00,""
"07/12/2015 06:00","H Q",61844,10.39,-0.29,0.00,""
"07/12/2015 06:00","HUD VL",61758,11.66,0.98,0.00,""
"07/12/2015 06:00","LONGIL",61762,11.90,1.21,0.00,""
"07/12/2015 06:00","MHK VL",61756,10.89,0.20,0.00,""
"07/12/2015 06:00","MILLWD",61759,11.70,1.01,0.00,""
"07/12/2015 06:00","N.Y.C.",61761,11.82,1.14,0.00,""
"07/12/2015 06:00","NORTH",61755,10.27,-0.41,0.00,""
"07/12/2015 06:00","NPX",61845,11.53,0.85,0.00,""
"07/12/2015 06:00","O H",61846,10.47,-0.21,0.00,""
"07/12/2015 06:00","PJM",61847,11.23,0.55,0.00,""
"07/12/2015 06:00","WEST",61752,10.53,-0.15,0.00,""
"07/12/2015 07:00","CAPITL",61757,8.48,0.53,0.00,""
"07/12/2015 07:00","CENTRL",61754,8.02,0.07,0.00,""
"07/12/2015 07:00","DUNWOD",61760,8.75,0.80,0.00,""
"07/12/2015 07:00","GENESE",61753,7.82,-0.13,0.00,""
"07/12/2015 07:00","H Q",61844,7.73,-0.22,0.00,""
"07/12/2015 07:00","HUD VL",61758,8.72,0.77,0.00,""
"07/12/2015 07:00","LONGIL",61762,8.91,0.96,0.00,""
"07/12/2015 07:00","MHK VL",61756,8.13,0.18,0.00,""
"07/12/2015 07:00","MILLWD",61759,8.75,0.80,0.00,""
"07/12/2015 07:00","N.Y.C.",61761,8.84,0.89,0.00,""
"07/12/2015 07:00","NORTH",61755,7.67,-0.28,0.00,""
"07/12/2015 07:00","NPX",61845,8.60,0.66,0.00,""
"07/12/2015 07:00","O H",61846,7.69,-0.26,0.00,""
"07/12/2015 07:00","PJM",61847,8.36,0.41,0.00,""
"07/12/2015 07:00","WEST",61752,7.73,-0.22,0.00,""
"07/12/2015 08:00","CAPITL",61757,11.84,0.71,0.00,""
"07/12/2015 08:00","CENTRL",61754,11.23,0.09,0.00,""
"07/12/2015 08:00","DUNWOD",61760,12.29,1.16,0.00,""
"07/12/2015 08:00","GENESE",61753,10.96,-0.17,0.00,""
"07/12/2015 08:00","H Q",61844,10.83,-0.30,0.00,""
"07/12/2015 08:00","HUD VL",61758,12.26,1.13,0.00,""
"07/12/2015 08:00","LONGIL",61762,12.48,1.36,0.00,""
"07/12/2015 08:00","MHK VL",61756,11.42,0.29,0.00,""
"07/12/2015 08:00","MILLWD",61759,12.29,1.16,0.00,""
"07/12/2015 08:00","N.Y.C.",61761,12.41,1.28,0.00,""
"07/12/2015 08:00","NORTH",61755,10.75,-0.38,0.00,""
"07/12/2015 08:00","NPX",61845,12.01,0.88,0.00,""
"07/12/2015 08:00","O H",61846,10.71,-0.42,0.00,""
"07/12/2015 08:00","PJM",61847,11.71,0.58,0.00,""
"07/12/2015 08:00","WEST",61752,10.79,-0.34,0.00,""
"07/12/2015 09:00","CAPITL",61757,20.65,1.22,0.00,""
"07/12/2015 09:00","CENTRL",61754,19.64,0.21,0.00,""
"07/12/2015 09:00","DUNWOD",61760,21.56,2.13,0.00,""
"07/12/2015 09:00","GENESE",61753,19.13,-0.30,0.00,""
"07/12/2015 09:00","H Q",61844,18.87,-0.56,0.00,""
"07/12/2015 09:00","HUD VL",61758,21.51,2.08,0.00,""
"07/12/2015 09:00","LONGIL",61762,21.99,2.56,0.00,""
"07/12/2015 09:00","MHK VL",61756,20.03,0.60,0.00,""
"07/12/2015 09:00","MILLWD",61759,21.58,2.15,0.00,""
"07/12/2015 09:00","N.Y.C.",61761,21.76,2.33,0.00,""
"07/12/2015 09:00","NORTH",61755,18.78,-0.65,0.00,""
"07/12/2015 09:00","NPX",61845,20.98,1.54,0.00,""
"07/12/2015 09:00","O H",61846,18.63,-0.80,0.00,""
"07/12/2015 09:00","PJM",61847,20.49,1.06,0.00,""
"07/12/2015 09:00","WEST",61752,18.78,-0.65,0.00,""
"07/12/2015 10:00","CAPITL",61757,22.55,1.39,0.00,""
"07/12/2015 10:00","CENTRL",61754,21.60,0.38,-0.06,""
"07/12/2015 10:00","DUNWOD",61760,23.67,2.51,0.00,""
"07/12/2015 10:00","GENESE",61753,20.97,-0.14,0.05,""
"07/12/2015 10:00","H Q",61844,20.41,-0.75,0.00,""
"07/12/2015 10:00","HUD VL",61758,23.63,2.47,0.00,""
"07/12/2015 10:00","LONGIL",61762,26.06,3.18,-1.72,""
"07/12/2015 10:00","MHK VL",61756,21.91,0.75,0.00,""
"07/12/2015 10:00","MILLWD",61759,23.72,2.55,0.00,""
"07/12/2015 10:00","N.Y.C.",61761,25.30,2.74,-1.40,""
"07/12/2015 10:00","NORTH",61755,20.32,-0.84,0.00,""
"07/12/2015 10:00","NPX",61845,22.95,1.78,0.00,""
"07/12/2015 10:00","O H",61846,20.34,-0.65,0.18,""
"07/12/2015 10:00","PJM",61847,22.67,1.37,-0.14,""
"07/12/2015 10:00","WEST",61752,21.40,-0.44,-0.68,""
"07/12/2015 11:00","CAPITL",61757,22.93,1.49,0.00,""
"07/12/2015 11:00","CENTRL",61754,22.09,0.34,-0.31,""
"07/12/2015 11:00","DUNWOD",61760,24.04,2.59,0.00,""
"07/12/2015 11:00","GENESE",61753,20.97,-0.19,0.28,""
"07/12/2015 11:00","H Q",61844,20.66,-0.78,0.00,""
"07/12/2015 11:00","HUD VL",61758,24.02,2.57,0.00,""
"07/12/2015 11:00","LONGIL",61762,29.23,3.30,-4.48,""
"07/12/2015 11:00","MHK VL",61756,22.19,0.74,0.00,""
"07/12/2015 11:00","MILLWD",61759,24.10,2.65,0.00,""
"07/12/2015 11:00","N.Y.C.",61761,26.11,2.83,-1.84,""
"07/12/2015 11:00","NORTH",61755,20.55,-0.90,0.00,""
"07/12/2015 11:00","NPX",61845,23.32,1.88,0.00,""
"07/12/2015 11:00","O H",61846,19.69,-0.80,0.96,""
"07/12/2015 11:00","PJM",61847,23.57,1.36,-0.76,""
"07/12/2015 11:00","WEST",61752,24.57,-0.57,-3.70,""
"07/12/2015 12:00","CAPITL",61757,24.04,1.61,0.00,""
"07/12/2015 12:00","CENTRL",61754,22.72,0.29,0.00,""
"07/12/2015 12:00","DUNWOD",61760,25.14,2.70,0.00,""
"07/12/2015 12:00","GENESE",61753,22.21,-0.22,0.00,""
"07/12/2015 12:00","H Q",61844,21.64,-0.80,0.00,""
"07/12/2015 12:00","HUD VL",61758,25.12,2.69,0.00,""
"07/12/2015 12:00","LONGIL",61762,32.31,3.46,-6.41,""
"07/12/2015 12:00","MHK VL",61756,23.21,0.78,0.00,""
"07/12/2015 12:00","MILLWD",61759,25.21,2.77,0.00,""
"07/12/2015 12:00","N.Y.C.",61761,54.14,2.95,-28.75,""
"07/12/2015 12:00","NORTH",61755,21.52,-0.91,0.00,""
"07/12/2015 12:00","NPX",61845,24.41,1.98,0.00,""
"07/12/2015 12:00","O H",61846,21.45,-0.98,0.00,""
"07/12/2015 12:00","PJM",61847,23.73,1.30,0.00,""
"07/12/2015 12:00","WEST",61752,21.73,-0.71,0.00,""
"07/12/2015 13:00","CAPITL",61757,24.93,1.68,0.00,""
"07/12/2015 13:00","CENTRL",61754,23.56,0.31,0.00,""
"07/12/2015 13:00","DUNWOD",61760,26.03,2.78,0.00,""
"07/12/2015 13:00","GENESE",61753,23.12,-0.13,0.00,""
"07/12/2015 13:00","H Q",61844,22.43,-0.82,0.00,""
"07/12/2015 13:00","HUD VL",61758,26.03,2.78,0.00,""
"07/12/2015 13:00","LONGIL",61762,26.78,3.53,0.00,""
"07/12/2015 13:00","MHK VL",61756,24.06,0.80,0.00,""
"07/12/2015 13:00","MILLWD",61759,26.12,2.87,0.00,""
"07/12/2015 13:00","N.Y.C.",61761,27.43,3.03,-1.16,""
"07/12/2015 13:00","NORTH",61755,22.32,-0.93,0.00,""
"07/12/2015 13:00","NPX",61845,25.30,2.05,0.00,""
"07/12/2015 13:00","O H",61846,22.28,-0.97,0.00,""
"07/12/2015 13:00","PJM",61847,24.58,1.33,0.00,""
"07/12/2015 13:00","WEST",61752,22.59,-0.67,0.00,""
"07/12/2015 14:00","CAPITL",61757,26.12,1.79,0.00,""
"07/12/2015 14:00","CENTRL",61754,24.75,0.42,0.00,""
"07/12/2015 14:00","DUNWOD",61760,27.12,2.79,0.00,""
"07/12/2015 14:00","GENESE",61753,24.38,0.05,0.00,""
"07/12/2015 14:00","H Q",61844,23.46,-0.87,0.00,""
"07/12/2015 14:00","HUD VL",61758,27.17,2.84,0.00,""
"07/12/2015 14:00","LONGIL",61762,27.83,3.49,0.00,""
"07/12/2015 14:00","MHK VL",61756,25.16,0.83,0.00,""
"07/12/2015 14:00","MILLWD",61759,27.23,2.90,0.00,""
"07/12/2015 14:00","N.Y.C.",61761,28.75,3.02,-1.40,""
"07/12/2015 14:00","NORTH",61755,23.28,-1.06,0.00,""
"07/12/2015 14:00","NPX",61845,26.46,2.13,0.00,""
"07/12/2015 14:00","O H",61846,23.54,-0.79,0.00,""
"07/12/2015 14:00","PJM",61847,25.73,1.40,0.00,""
"07/12/2015 14:00","WEST",61752,23.89,-0.45,0.00,""
"07/12/2015 15:00","CAPITL",61757,29.70,1.97,0.00,""
"07/12/2015 15:00","CENTRL",61754,28.20,0.48,0.00,""
"07/12/2015 15:00","DUNWOD",61760,30.81,3.09,0.00,""
"07/12/2015 15:00","GENESE",61753,27.90,0.18,0.00,""
"07/12/2015 15:00","H Q",61844,26.78,-0.95,0.00,""
"07/12/2015 15:00","HUD VL",61758,30.89,3.17,0.00,""
"07/12/2015 15:00","LONGIL",61762,31.56,3.83,0.00,""
"07/12/2015 15:00","MHK VL",61756,28.66,0.93,0.00,""
"07/12/2015 15:00","MILLWD",61759,30.95,3.22,0.00,""
"07/12/2015 15:00","N.Y.C.",61761,31.37,3.31,-0.34,""
"07/12/2015 15:00","NORTH",61755,26.62,-1.10,0.00,""
"07/12/2015 15:00","NPX",61845,30.03,2.30,0.00,""
"07/12/2015 15:00","O H",61846,26.88,-0.85,0.00,""
"07/12/2015 15:00","PJM",61847,29.26,1.53,0.00,""
"07/12/2015 15:00","WEST",61752,27.30,-0.43,0.00,""
"07/12/2015 16:00","CAPITL",61757,32.00,2.18,0.00,""
"07/12/2015 16:00","CENTRL",61754,30.32,0.49,0.00,""
