"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"10/11/2019 00:00","CAPITL",61757,11.91,0.75,0.00
"10/11/2019 00:00","CENTRL",61754,11.26,0.10,0.00
"10/11/2019 00:00","DUNWOD",61760,12.01,0.85,0.00
"10/11/2019 00:00","GENESE",61753,10.94,-0.22,0.00
"10/11/2019 00:00","H Q",61844,10.93,-0.23,0.00
"10/11/2019 00:00","HUD VL",61758,11.94,0.78,0.00
"10/11/2019 00:00","LONGIL",61762,12.28,1.12,0.00
"10/11/2019 00:00","MHK VL",61756,11.40,0.24,0.00
"10/11/2019 00:00","MILLWD",61759,11.97,0.81,0.00
"10/11/2019 00:00","N.Y.C.",61761,12.12,0.97,0.00
"10/11/2019 00:00","NORTH",61755,10.96,-0.20,0.00
"10/11/2019 00:00","NPX",61845,11.91,0.75,0.00
"10/11/2019 00:00","O H",61846,10.73,-0.43,0.00
"10/11/2019 00:00","PJM",61847,11.45,0.30,0.00
"10/11/2019 00:00","WEST",61752,10.91,-0.25,0.00
"10/11/2019 01:00","CAPITL",61757,11.61,0.75,0.00
"10/11/2019 01:00","CENTRL",61754,10.92,0.06,0.00
"10/11/2019 01:00","DUNWOD",61760,11.65,0.79,0.00
"10/11/2019 01:00","GENESE",61753,10.57,-0.28,0.00
"10/11/2019 01:00","H Q",61844,10.65,-0.21,0.00
"10/11/2019 01:00","HUD VL",61758,11.58,0.73,0.00
"10/11/2019 01:00","LONGIL",61762,11.92,1.07,0.00
"10/11/2019 01:00","MHK VL",61756,11.09,0.23,0.00
"10/11/2019 01:00","MILLWD",61759,11.61,0.76,0.00
"10/11/2019 01:00","N.Y.C.",61761,11.76,0.90,0.00
"10/11/2019 01:00","NORTH",61755,10.68,-0.17,0.00
"10/11/2019 01:00","NPX",61845,11.59,0.73,0.00
"10/11/2019 01:00","O H",61846,10.35,-0.50,0.00
"10/11/2019 01:00","PJM",61847,11.10,0.24,0.00
"10/11/2019 01:00","WEST",61752,10.51,-0.35,0.00
"10/11/2019 02:00","CAPITL",61757,9.63,0.64,0.00
"10/11/2019 02:00","CENTRL",61754,9.05,0.06,0.00
"10/11/2019 02:00","DUNWOD",61760,9.63,0.64,0.00
"10/11/2019 02:00","GENESE",61753,8.79,-0.21,0.00
"10/11/2019 02:00","H Q",61844,8.82,-0.17,0.00
"10/11/2019 02:00","HUD VL",61758,9.58,0.59,0.00
"10/11/2019 02:00","LONGIL",61762,9.84,0.84,0.00
"10/11/2019 02:00","MHK VL",61756,9.18,0.19,0.00
"10/11/2019 02:00","MILLWD",61759,9.60,0.61,0.00
"10/11/2019 02:00","N.Y.C.",61761,9.72,0.73,0.00
"10/11/2019 02:00","NORTH",61755,8.84,-0.15,0.00
"10/11/2019 02:00","NPX",61845,10.59,0.61,-0.99
"10/11/2019 02:00","O H",61846,8.62,-0.38,0.00
"10/11/2019 02:00","PJM",61847,9.20,0.20,0.00
"10/11/2019 02:00","WEST",61752,8.75,-0.25,0.00
"10/11/2019 03:00","CAPITL",61757,8.83,0.58,0.00
"10/11/2019 03:00","CENTRL",61754,8.30,0.06,0.00
"10/11/2019 03:00","DUNWOD",61760,8.83,0.59,0.00
"10/11/2019 03:00","GENESE",61753,8.07,-0.18,0.00
"10/11/2019 03:00","H Q",61844,8.09,-0.16,0.00
"10/11/2019 03:00","HUD VL",61758,8.78,0.54,0.00
"10/11/2019 03:00","LONGIL",61762,9.03,0.78,0.00
"10/11/2019 03:00","MHK VL",61756,8.42,0.17,0.00
"10/11/2019 03:00","MILLWD",61759,8.80,0.56,0.00
"10/11/2019 03:00","N.Y.C.",61761,8.91,0.66,0.00
"10/11/2019 03:00","NORTH",61755,8.10,-0.15,0.00
"10/11/2019 03:00","NPX",61845,10.47,0.55,-1.67
"10/11/2019 03:00","O H",61846,7.94,-0.31,0.00
"10/11/2019 03:00","PJM",61847,8.45,0.21,0.00
"10/11/2019 03:00","WEST",61752,8.06,-0.19,0.00
"10/11/2019 04:00","CAPITL",61757,10.07,0.69,0.00
"10/11/2019 04:00","CENTRL",61754,9.45,0.06,0.00
"10/11/2019 04:00","DUNWOD",61760,10.06,0.68,0.00
"10/11/2019 04:00","GENESE",61753,9.17,-0.22,0.00
"10/11/2019 04:00","H Q",61844,9.20,-0.19,0.00
"10/11/2019 04:00","HUD VL",61758,10.00,0.62,0.00
