"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"07/09/2020 00:00","CAPITL",61757,17.78,1.19,1.30
"07/09/2020 00:00","CENTRL",61754,18.55,0.66,0.00
"07/09/2020 00:00","DUNWOD",61760,21.30,1.59,-1.81
"07/09/2020 00:00","GENESE",61753,18.84,0.94,0.00
"07/09/2020 00:00","H Q",61844,17.32,-0.58,0.00
"07/09/2020 00:00","HUD VL",61758,20.52,1.33,-1.29
"07/09/2020 00:00","LONGIL",61762,32.51,2.19,-12.42
"07/09/2020 00:00","MHK VL",61756,18.53,0.63,0.00
"07/09/2020 00:00","MILLWD",61759,21.04,1.47,-1.68
"07/09/2020 00:00","N.Y.C.",61761,21.62,1.77,-1.95
"07/09/2020 00:00","NORTH",61755,17.31,-0.59,0.00
"07/09/2020 00:00","NPX",61845,10.10,0.96,8.75
"07/09/2020 00:00","O H",61846,18.45,0.62,0.07
"07/09/2020 00:00","PJM",61847,19.91,1.05,-0.96
"07/09/2020 00:00","WEST",61752,19.12,1.22,0.00
"07/09/2020 01:00","CAPITL",61757,17.72,1.12,0.09
"07/09/2020 01:00","CENTRL",61754,17.24,0.56,0.00
"07/09/2020 01:00","DUNWOD",61760,18.32,1.50,-0.13
"07/09/2020 01:00","GENESE",61753,17.42,0.73,0.00
"07/09/2020 01:00","H Q",61844,16.15,-0.54,0.00
"07/09/2020 01:00","HUD VL",61758,18.03,1.26,-0.09
"07/09/2020 01:00","LONGIL",61762,26.77,2.07,-8.01
"07/09/2020 01:00","MHK VL",61756,17.26,0.57,0.00
"07/09/2020 01:00","MILLWD",61759,18.20,1.39,-0.12
"07/09/2020 01:00","N.Y.C.",61761,18.48,1.67,-0.13
"07/09/2020 01:00","NORTH",61755,16.13,-0.56,0.00
"07/09/2020 01:00","NPX",61845,17.00,0.94,0.63
"07/09/2020 01:00","O H",61846,17.12,0.44,0.00
"07/09/2020 01:00","PJM",61847,17.72,0.97,-0.07
