"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"08/25/2021 00:05:00","CAPITL",61757,41.21,2.98,0.00
"08/25/2021 00:05:00","CENTRL",61754,38.99,0.76,0.00
"08/25/2021 00:05:00","DUNWOD",61760,42.05,3.82,0.00
"08/25/2021 00:05:00","GENESE",61753,38.87,0.65,0.00
"08/25/2021 00:05:00","H Q",61844,37.04,-1.19,0.00
"08/25/2021 00:05:00","HUD VL",61758,41.51,3.29,0.00
"08/25/2021 00:05:00","LONGIL",61762,90.88,3.94,-48.72
"08/25/2021 00:05:00","MHK VL",61756,39.53,1.30,0.00
"08/25/2021 00:05:00","MILLWD",61759,41.82,3.59,0.00
"08/25/2021 00:05:00","N.Y.C.",61761,55.45,4.17,-13.06
"08/25/2021 00:05:00","NORTH",61755,36.96,-1.26,0.00
"08/25/2021 00:05:00","NPX",61845,45.98,2.71,-5.04
"08/25/2021 00:05:00","O H",61846,37.73,-0.50,0.00
"08/25/2021 00:05:00","PJM",61847,40.65,1.72,-0.70
"08/25/2021 00:05:00","WEST",61752,38.91,0.69,0.00
"08/25/2021 00:10:00","CAPITL",61757,42.36,3.07,0.00
"08/25/2021 00:10:00","CENTRL",61754,40.28,0.98,0.00
"08/25/2021 00:10:00","DUNWOD",61760,43.19,3.89,0.00
"08/25/2021 00:10:00","GENESE",61753,40.24,0.94,0.00
"08/25/2021 00:10:00","H Q",61844,38.00,-1.30,0.00
"08/25/2021 00:10:00","HUD VL",61758,42.63,3.34,0.00
"08/25/2021 00:10:00","LONGIL",61762,43.19,3.89,0.00
"08/25/2021 00:10:00","MHK VL",61756,40.63,1.34,0.00
"08/25/2021 00:10:00","MILLWD",61759,42.95,3.66,0.00
"08/25/2021 00:10:00","N.Y.C.",61761,43.62,4.32,0.00
"08/25/2021 00:10:00","NORTH",61755,37.88,-1.41,0.00
"08/25/2021 00:10:00","NPX",61845,47.12,2.79,-5.04
"08/25/2021 00:10:00","O H",61846,39.18,-0.12,0.00
"08/25/2021 00:10:00","PJM",61847,41.22,1.93,0.00
"08/25/2021 00:10:00","WEST",61752,40.44,1.14,0.00
"08/25/2021 00:15:00","CAPITL",61757,40.84,2.96,0.00
"08/25/2021 00:15:00","CENTRL",61754,38.99,1.10,0.00
"08/25/2021 00:15:00","DUNWOD",61760,41.64,3.75,0.00
"08/25/2021 00:15:00","GENESE",61753,39.06,1.18,0.00
"08/25/2021 00:15:00","H Q",61844,36.56,-1.33,0.00
"08/25/2021 00:15:00","HUD VL",61758,41.10,3.22,0.00
"08/25/2021 00:15:00","LONGIL",61762,257.00,4.01,-215.10
"08/25/2021 00:15:00","MHK VL",61756,39.21,1.33,0.00
"08/25/2021 00:15:00","MILLWD",61759,41.41,3.52,0.00
"08/25/2021 00:15:00","N.Y.C.",61761,42.09,4.20,0.00
"08/25/2021 00:15:00","NORTH",61755,36.45,-1.44,0.00
"08/25/2021 00:15:00","NPX",61845,45.61,2.69,-5.04
"08/25/2021 00:15:00","O H",61846,38.23,0.34,0.00
"08/25/2021 00:15:00","PJM",61847,39.97,2.08,0.00
"08/25/2021 00:15:00","WEST",61752,39.44,1.55,0.00
"08/25/2021 00:20:00","CAPITL",61757,40.82,2.99,0.00
"08/25/2021 00:20:00","CENTRL",61754,38.93,1.10,0.00
"08/25/2021 00:20:00","DUNWOD",61760,41.58,3.75,0.00
"08/25/2021 00:20:00","GENESE",61753,38.97,1.13,0.00
"08/25/2021 00:20:00","H Q",61844,36.48,-1.36,0.00
"08/25/2021 00:20:00","HUD VL",61758,41.05,3.21,0.00
"08/25/2021 00:20:00","LONGIL",61762,99.33,4.09,-57.41
"08/25/2021 00:20:00","MHK VL",61756,39.16,1.32,0.00
"08/25/2021 00:20:00","MILLWD",61759,41.36,3.52,0.00
"08/25/2021 00:20:00","N.Y.C.",61761,44.10,4.20,-2.06
"08/25/2021 00:20:00","NORTH",61755,36.32,-1.51,0.00
"08/25/2021 00:20:00","NPX",61845,49.73,2.73,-9.17
"08/25/2021 00:20:00","O H",61846,38.10,0.27,0.00
"08/25/2021 00:20:00","PJM",61847,39.92,2.08,0.00
"08/25/2021 00:20:00","WEST",61752,39.35,1.52,0.00
"08/25/2021 00:25:00","CAPITL",61757,40.62,2.97,0.00
"08/25/2021 00:25:00","CENTRL",61754,38.59,0.94,0.00
"08/25/2021 00:25:00","DUNWOD",61760,41.38,3.73,0.00
"08/25/2021 00:25:00","GENESE",61753,38.63,0.98,0.00
"08/25/2021 00:25:00","H Q",61844,36.37,-1.28,0.00
"08/25/2021 00:25:00","HUD VL",61758,40.85,3.20,0.00
"08/25/2021 00:25:00","LONGIL",61762,92.40,3.95,-50.80
"08/25/2021 00:25:00","MHK VL",61756,38.97,1.32,0.00
"08/25/2021 00:25:00","MILLWD",61759,41.15,3.50,0.00
"08/25/2021 00:25:00","N.Y.C.",61761,43.93,4.18,-2.10
"08/25/2021 00:25:00","NORTH",61755,36.18,-1.47,0.00
"08/25/2021 00:25:00","NPX",61845,49.53,2.71,-9.17
"08/25/2021 00:25:00","O H",61846,37.72,0.08,0.00
"08/25/2021 00:25:00","PJM",61847,39.60,1.96,0.00
"08/25/2021 00:25:00","WEST",61752,38.93,1.28,0.00
"08/25/2021 00:30:00","CAPITL",61757,40.43,2.93,0.00
"08/25/2021 00:30:00","CENTRL",61754,38.55,1.05,0.00
"08/25/2021 00:30:00","DUNWOD",61760,41.13,3.64,0.00
"08/25/2021 00:30:00","GENESE",61753,38.55,1.05,0.00
"08/25/2021 00:30:00","H Q",61844,36.18,-1.31,0.00
"08/25/2021 00:30:00","HUD VL",61758,40.61,3.11,0.00
"08/25/2021 00:30:00","LONGIL",61762,106.22,3.83,-64.89
"08/25/2021 00:30:00","MHK VL",61756,38.85,1.35,0.00
"08/25/2021 00:30:00","MILLWD",61759,40.91,3.41,0.00
"08/25/2021 00:30:00","N.Y.C.",61761,43.76,4.12,-2.14
"08/25/2021 00:30:00","NORTH",61755,36.00,-1.50,0.00
"08/25/2021 00:30:00","NPX",61845,49.33,2.66,-9.17
"08/25/2021 00:30:00","O H",61846,37.72,0.23,0.00
"08/25/2021 00:30:00","PJM",61847,39.52,2.02,0.00
"08/25/2021 00:30:00","WEST",61752,38.96,1.46,0.00
"08/25/2021 00:35:00","CAPITL",61757,37.41,2.71,0.00
"08/25/2021 00:35:00","CENTRL",61754,35.71,1.01,0.00
"08/25/2021 00:35:00","DUNWOD",61760,38.07,3.37,0.00
"08/25/2021 00:35:00","GENESE",61753,35.71,1.01,0.00
"08/25/2021 00:35:00","H Q",61844,33.49,-1.22,0.00
"08/25/2021 00:35:00","HUD VL",61758,37.58,2.88,0.00
"08/25/2021 00:35:00","LONGIL",61762,99.27,3.50,-61.06
"08/25/2021 00:35:00","MHK VL",61756,35.95,1.25,0.00
"08/25/2021 00:35:00","MILLWD",61759,37.86,3.16,0.00
"08/25/2021 00:35:00","N.Y.C.",61761,41.15,3.78,-2.66
"08/25/2021 00:35:00","NORTH",61755,33.31,-1.39,0.00
"08/25/2021 00:35:00","NPX",61845,45.04,2.43,-7.91
"08/25/2021 00:35:00","O H",61846,34.95,0.24,0.00
"08/25/2021 00:35:00","PJM",61847,36.61,1.91,0.00
"08/25/2021 00:35:00","WEST",61752,36.12,1.42,0.00
"08/25/2021 00:40:00","CAPITL",61757,37.10,2.69,0.00
"08/25/2021 00:40:00","CENTRL",61754,35.31,0.89,0.00
"08/25/2021 00:40:00","DUNWOD",61760,37.79,3.37,0.00
"08/25/2021 00:40:00","GENESE",61753,35.38,0.96,0.00
"08/25/2021 00:40:00","H Q",61844,33.24,-1.17,0.00
"08/25/2021 00:40:00","HUD VL",61758,37.30,2.89,0.00
"08/25/2021 00:40:00","LONGIL",61762,97.69,3.55,-59.74
"08/25/2021 00:40:00","MHK VL",61756,35.65,1.24,0.00
"08/25/2021 00:40:00","MILLWD",61759,37.58,3.16,0.00
