"Forecast Date","Vintage Date","Vintage","Station ID","Max Temp","Min Temp","Max Wet Bulb","Min Wet Bulb"
"07/29/2021","07/26/2021","Actual","ALB",83,65,69,62
"07/29/2021","07/26/2021","Actual","ART",80,64,69,62
"07/29/2021","07/26/2021","Actual","BGM",81,62,65,61
"07/29/2021","07/26/2021","Actual","BUF",84,66,72,65
"07/29/2021","07/26/2021","Actual","ELM",86,58,71,57
"07/29/2021","07/26/2021","Actual","ELZ",80,59,67,58
"07/29/2021","07/26/2021","Actual","FOK",89,67,75,65
"07/29/2021","07/26/2021","Actual","FRG",89,71,73,67
"07/29/2021","07/26/2021","Actual","GFL",84,60,72,59
"07/29/2021","07/26/2021","Actual","HPN",86,69,71,66
"07/29/2021","07/26/2021","Actual","IAG",84,64,72,62
"07/29/2021","07/26/2021","Actual","ISP",88,69,74,67
"07/29/2021","07/26/2021","Actual","ITH",83,59,68,59
"07/29/2021","07/26/2021","Actual","JFK",90,72,74,68
"07/29/2021","07/26/2021","Actual","LGA",90,73,74,66
"07/29/2021","07/26/2021","Actual","MSS",82,63,69,61
"07/29/2021","07/26/2021","Actual","MSV",83,60,68,60
"07/29/2021","07/26/2021","Actual","NYC",87,72,74,65
"07/29/2021","07/26/2021","Actual","PLB",85,65,69,62
"07/29/2021","07/26/2021","Actual","POU",87,66,72,65
"07/29/2021","07/26/2021","Actual","ROC",87,64,69,62
"07/29/2021","07/26/2021","Actual","SLK",78,56,67,56
"07/29/2021","07/26/2021","Actual","SWF",86,64,74,64
"07/29/2021","07/26/2021","Actual","SYR",87,69,68,63
"07/29/2021","07/26/2021","Actual","UCA",82,61,68,60
"07/29/2021","07/27/2021","Actual","ALB",83,59,70,59
"07/29/2021","07/27/2021","Actual","ART",75,57,69,56
"07/29/2021","07/27/2021","Actual","BGM",81,63,67,62
"07/29/2021","07/27/2021","Actual","BUF",81,66,70,63
"07/29/2021","07/27/2021","Actual","ELM",86,60,70,59
"07/29/2021","07/27/2021","Actual","ELZ",79,60,67,57
"07/29/2021","07/27/2021","Actual","FOK",87,58,72,57
"07/29/2021","07/27/2021","Actual","FRG",88,70,70,64
"07/29/2021","07/27/2021","Actual","GFL",81,57,71,56
"07/29/2021","07/27/2021","Actual","HPN",87,66,69,62
"07/29/2021","07/27/2021","Actual","IAG",79,63,71,60
"07/29/2021","07/27/2021","Actual","ISP",87,68,70,65
"07/29/2021","07/27/2021","Actual","ITH",84,60,69,60
"07/29/2021","07/27/2021","Actual","JFK",87,71,72,65
"07/29/2021","07/27/2021","Actual","LGA",90,74,70,65
"07/29/2021","07/27/2021","Actual","MSS",67,55,62,54
"07/29/2021","07/27/2021","Actual","MSV",84,57,70,56
"07/29/2021","07/27/2021","Actual","NYC",88,75,72,65
"07/29/2021","07/27/2021","Actual","PLB",73,60,64,58
"07/29/2021","07/27/2021","Actual","POU",89,62,72,61
"07/29/2021","07/27/2021","Actual","ROC",78,63,69,62
"07/29/2021","07/27/2021","Actual","SLK",69,50,62,50
"07/29/2021","07/27/2021","Actual","SWF",88,63,71,63
"07/29/2021","07/27/2021","Actual","SYR",85,66,70,62
"07/29/2021","07/27/2021","Actual","UCA",82,58,70,57
"07/29/2021","07/28/2021","Actual","ALB",75,60,64,60
"07/29/2021","07/28/2021","Actual","ART",76,57,63,55
"07/29/2021","07/28/2021","Actual","BGM",72,60,64,57
"07/29/2021","07/28/2021","Actual","BUF",81,64,67,61
"07/29/2021","07/28/2021","Actual","ELM",78,59,65,58
"07/29/2021","07/28/2021","Actual","ELZ",74,61,63,58
"07/29/2021","07/28/2021","Actual","FOK",80,61,69,60
"07/29/2021","07/28/2021","Actual","FRG",82,69,68,65
"07/29/2021","07/28/2021","Actual","GFL",75,59,63,57
"07/29/2021","07/28/2021","Actual","HPN",79,67,66,63
"07/29/2021","07/28/2021","Actual","IAG",79,63,67,59
"07/29/2021","07/28/2021","Actual","ISP",79,68,69,67
"07/29/2021","07/28/2021","Actual","ITH",74,57,64,56
"07/29/2021","07/28/2021","Actual","JFK",81,71,70,66
"07/29/2021","07/28/2021","Actual","LGA",82,71,68,65
"07/29/2021","07/28/2021","Actual","MSS",74,57,63,56
"07/29/2021","07/28/2021","Actual","MSV",77,60,64,58
"07/29/2021","07/28/2021","Actual","NYC",81,69,68,65
"07/29/2021","07/28/2021","Actual","PLB",74,58,61,55
"07/29/2021","07/28/2021","Actual","POU",80,63,66,61
"07/29/2021","07/28/2021","Actual","ROC",74,60,64,57
"07/29/2021","07/28/2021","Actual","SLK",70,49,58,48
"07/29/2021","07/28/2021","Actual","SWF",79,55,68,55
"07/29/2021","07/28/2021","Actual","SYR",78,60,64,58
"07/29/2021","07/28/2021","Actual","UCA",75,59,64,58
"07/29/2021","07/29/2021","Forecast","ALB",76,56,67,55
"07/29/2021","07/29/2021","Forecast","ART",72,53,67,51
"07/29/2021","07/29/2021","Forecast","BGM",71,55,66,54
"07/29/2021","07/29/2021","Forecast","BUF",73,64,69,59
"07/29/2021","07/29/2021","Forecast","ELM",74,54,68,54
"07/29/2021","07/29/2021","Forecast","ELZ",68,58,66,56
"07/29/2021","07/29/2021","Forecast","FOK",74,59,69,57
"07/29/2021","07/29/2021","Forecast","FRG",76,69,70,66
"07/29/2021","07/29/2021","Forecast","GFL",73,54,66,53
"07/29/2021","07/29/2021","Forecast","HPN",73,65,69,64
"07/29/2021","07/29/2021","Forecast","IAG",75,64,69,59
"07/29/2021","07/29/2021","Forecast","ISP",76,67,70,65
"07/29/2021","07/29/2021","Forecast","ITH",72,55,68,54
"07/29/2021","07/29/2021","Forecast","JFK",76,71,70,68
"07/29/2021","07/29/2021","Forecast","LGA",76,73,71,66
"07/29/2021","07/29/2021","Forecast","MSS",69,52,63,51
"07/29/2021","07/29/2021","Forecast","MSV",71,54,67,54
"07/29/2021","07/29/2021","Forecast","NYC",78,71,70,65
"07/29/2021","07/29/2021","Forecast","PLB",72,50,64,49
"07/29/2021","07/29/2021","Forecast","POU",74,60,68,58
"07/29/2021","07/29/2021","Forecast","ROC",72,59,69,57
"07/29/2021","07/29/2021","Forecast","SLK",67,40,61,40
"07/29/2021","07/29/2021","Forecast","SWF",73,55,68,55
"07/29/2021","07/29/2021","Forecast","SYR",77,58,69,54
"07/29/2021","07/29/2021","Forecast","UCA",73,54,68,52
"07/29/2021","07/30/2021","Forecast","ALB",73,55,65,51
"07/29/2021","07/30/2021","Forecast","ART",68,56,63,50
"07/29/2021","07/30/2021","Forecast","BGM",65,54,64,49
"07/29/2021","07/30/2021","Forecast","BUF",69,60,66,53
"07/29/2021","07/30/2021","Forecast","ELM",68,55,65,51
"07/29/2021","07/30/2021","Forecast","ELZ",64,51,63,47
"07/29/2021","07/30/2021","Forecast","FOK",82,65,69,57
"07/29/2021","07/30/2021","Forecast","FRG",82,67,70,57
"07/29/2021","07/30/2021","Forecast","GFL",68,56,63,50
"07/29/2021","07/30/2021","Forecast","HPN",77,62,69,54
"07/29/2021","07/30/2021","Forecast","IAG",69,60,65,53
"07/29/2021","07/30/2021","Forecast","ISP",82,66,70,57
"07/29/2021","07/30/2021","Forecast","ITH",64,54,64,50
"07/29/2021","07/30/2021","Forecast","JFK",81,67,70,57
"07/29/2021","07/30/2021","Forecast","LGA",81,68,70,57
"07/29/2021","07/30/2021","Forecast","MSS",65,55,61,49
"07/29/2021","07/30/2021","Forecast","MSV",69,54,63,49
"07/29/2021","07/30/2021","Forecast","NYC",82,66,70,56
"07/29/2021","07/30/2021","Forecast","PLB",65,56,62,50
"07/29/2021","07/30/2021","Forecast","POU",76,59,67,52
"07/29/2021","07/30/2021","Forecast","ROC",67,59,66,53
"07/29/2021","07/30/2021","Forecast","SLK",59,49,59,46
"07/29/2021","07/30/2021","Forecast","SWF",74,59,67,52
"07/29/2021","07/30/2021","Forecast","SYR",69,61,66,54
"07/29/2021","07/30/2021","Forecast","UCA",65,56,64,51
