,neurons,filters,activation,learning_rate,kernel_size,pool_size,loss,val_loss
00,32,40,tanh,0.001,3,1,mse,0.19736218452453613
01,64,40,relu,0.001,3,1,mse,0.19837874174118042
02,64,40,relu,0.0001,4,2,mse,0.20536737143993378
03,32,20,relu,0.0001,3,2,mse,0.21323254704475403
04,32,40,tanh,0.01,4,2,mse,0.24731263518333435
05,32,40,relu,0.001,2,2,mae,0.2625725567340851
06,32,40,relu,0.01,3,2,mse,0.26386386156082153
07,64,20,sigmoid,0.01,3,1,mse,0.2691666781902313
08,32,20,tanh,0.01,3,1,mae,0.2756495177745819
09,64,40,sigmoid,0.01,2,1,mae,0.31544753909111023
