,neurons,filters,activation,learning_rate,kernel_size,pool_size,loss,val_loss
00,64,40,relu,0.001,3,1,mse,0.19847890734672546
01,32,40,tanh,0.001,3,1,mse,0.19996224343776703
02,64,40,relu,0.0001,4,2,mse,0.20299693942070007
03,32,20,relu,0.0001,3,2,mse,0.2040388137102127
04,64,20,sigmoid,0.01,3,1,mse,0.20952929556369781
05,32,40,tanh,0.01,4,2,mse,0.23544925451278687
06,32,40,relu,0.001,2,2,mae,0.2569602429866791
07,32,20,tanh,0.01,3,1,mae,0.2924327850341797
08,64,40,sigmoid,0.01,2,1,mae,0.36629825830459595
09,32,40,relu,0.01,3,2,mse,0.39785078167915344
