,neurons,filters,activation,learning_rate,kernel_size,pool_size,loss,val_loss
00,64,32,relu,0.0001,3,1,mse,0.1922045350074768
01,32,32,tanh,0.001,4,2,mse,0.19638493657112122
02,64,64,relu,1e-05,4,2,mse,0.2018873393535614
03,32,64,tanh,0.001,3,1,mse,0.20477549731731415
04,32,64,relu,0.01,3,2,mse,0.21779252588748932
05,32,16,relu,1e-05,3,2,mse,0.2296319156885147
06,32,32,relu,0.001,2,2,mae,0.2574746906757355
07,64,64,sigmoid,0.001,2,1,mae,0.25762122869491577
08,32,32,tanh,0.01,3,1,mae,0.3039204776287079
09,64,16,sigmoid,0.01,3,1,mse,0.36948955059051514
