,neurons,filters,activation,learning_rate,kernel_size,pool_size,loss,val_loss
00,64,32,relu,0.0001,3,1,mse,0.19630444049835205
01,32,64,tanh,0.001,3,1,mse,0.19916459918022156
02,32,32,tanh,0.001,4,2,mse,0.1993899941444397
03,64,64,relu,1e-05,4,2,mse,0.20583100616931915
04,32,64,relu,0.01,3,2,mse,0.20649661123752594
05,32,32,relu,0.001,2,2,mae,0.25973987579345703
06,64,64,sigmoid,0.001,2,1,mae,0.2601501941680908
07,32,16,relu,1e-05,3,2,mse,0.26437994837760925
08,32,32,tanh,0.01,3,1,mae,0.29116302728652954
09,64,16,sigmoid,0.01,3,1,mse,0.38116857409477234
